"1645";"Which license provider of MSX basic is also the designer of Language Integrated Query?";"Microsoft"
"3333";"In which city are the schools whose district is Mumbai Suburban?";"Mumbai"
"1204";"What is the place of death of the royalties one of whose parents was Adam Ludwik Czartoryski?";"Cannes, French Third Republic"
"3638";"How many developers make software for Unix like operating systems?";"161"
"3644";"List the employments of people who died in Tampa, Florida.";"answer"
"3157";"Who was on the first team in the GPs that were held at Watkins Glen, NY?";"Lotus-Climax, BRM, British Racing Motors, Team Lotus, Lotus-Ford, Ford Motor Company, Equipe Matra Sports, Cosworth, Tyrrell Racing, Brabham-Ford, Scuderia Ferrari, McLaren-Ford, McLaren, Williams Grand Prix Engineering"
"1995";"Which company produced the car which was a new version of Daewoo's Tico?";"General Motors"
"3021";"List the things for which people of New Orleans are famous for?";"answer"
"4088";"What is the field of interest of the advisor of Henri Maspero ?";"History of China, Religion in China, Sanskrit, Buddhism, Sanskrit literature"
"869";"What is the political party of the Bengalis?";"Labour Party (UK), All India Forward Bloc, Indian National Congress, Pakistan Muslim League, Communist Party of Bangladesh, Bangladesh Awami League, East Pakistan Communist Party (Marxist–Leninist), United Front (East Pakistan), National Awami Party, Communist Party of Bangladesh (Marxist–Leninist) (Barua), Swaraj Party"
"4283";"Count the number of ingredient of the foods which have one of the ingredient is Pork ?";"622"
"4054";"Who are the associated musical artist of Carolyn Dennis?";"Bruce Springsteen, Kenny Loggins, Bob Dylan, Michael Jackson, Stevie Wonder, The Carpenters"
"664";"List the movies whose music composer is often associated with Jon and Vangelis.";"answer"
"1632";"What is the former team of the Athens borned basketball players?";"Near East B.C., Peristeri B.C., Maroussi B.C., AEK B.C., Egaleo B.C., Iraklis Thessaloniki B.C., Panellinios B.C., Sporting B.C."
"3929";"In which areas can I find wine made of Vitis vinifera grapes?";"answer"
"1851";"How many had their debut team coached by Chip Kelly?";"170"
"3871";"How many characters are there in The Office?";"19"
"2075";"Count the number of religions followed by BJP members.";"381"
"1905";"Some movies whose screenplay is done by american born people?";"answer"
"4399";"Count the number of members of the organization which have Austria as one of the member ?";"37"
"2293";"Who is the headcoach of 2008-09 Marquette Golden Eagles men's basketball team ?";"Buzz Williams"
"1275";"Which venue of Indy PopCon is also the death palce of Louis LeCocq?";"Indianapolis"
"4480";"Name the fictional character whose species is American Pekin duck and has relatives named Ludwig Von Drake?";"Scrooge McDuck, Donald Duck"
"871";"Was Writings and Drawings illustrated by Bob Dylan?";"Yes"
"711";"Which party does Iqbal Singh and B Shiva Rao currently belong to?";"Indian National Congress"
"3266";"Name the scientist whose supervisor also supervised Mary Ainsworth?";"Abraham Maslow"
"1127";"Who is the common prime minster of William Deaner and Mark Latham?";"John Howard"
"122";"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.";"138"
"1367";"Name a person who was educated in Humes High School?";"Elvis Presley"
"4273";"What is the parent company of PrivateCore?";"Facebook"
"3317";"In how many nations can I find people related to the feminist movement?";"11"
"1783";"Who is the former partner of Chris Knierim?";"Brynn Carman, Shawnee Smith, Andrea Poapst"
"2936";"Under which scientist did doctoral students erban ieica and Erich Bagge study?";"Werner Heisenberg"
"3278";"Which birthplace of Svetlana Gounkina is also the largest city of Union State?";"Moscow"
"2514";"What is the television show whose developer is J. Michael Straczynski?";"Babylon 5, Jayce and the Wheeled Warriors"
"4918";"During the reigns of which monarchs was the name to the Israelite kingdom as United Monarch?";"David, Saul, Solomon, Bathsheba, Ish-bosheth, Nathan (son of David)"
"1319";"Which things are Breann McGregor known for?";"Playboy, Playboy Cyber Club, '', appearance"
"2941";"What is the common award won by Charles LeMaire and Eric Roth";"Academy Awards"
"3552";"Name the Chris Marve's school ?";"Vanderbilt University"
"901";"Which are the countires where Pioneer Corporation has flourished?";"Hong Kong, Italy, Japan, Singapore, South Korea, Taiwan, Thailand, Malaysia"
"2394";"How many shows belong to the network one of whose sister station is Cartoonite?";"78"
"4519";"What show had NTSC format and theme music composed byRon Grainer?";"Doctor Who"
"449";"Who has starred in the amusement park attractions where Jim Dooley was performing?";"Kelsey Grammer, Dan Castellaneta, Yeardley Smith, Hank Azaria, Julie Kavner, Nancy Cartwright"
"3183";"What are the musical performances whose label is Celluloid Records?";"answer"
"3398";"Who is the opponent of United States House of Representatives elections in Ohio, 2010 ?";"John Boehner, David Harlow, Jim Condit ,"
"2208";"In which state is Colemanville Covered Bridge located ?";"Pennsylvania"
"1743";"Panthera leo fossils and Liger belong to which species?";"Lion"
"1152";"Whose commanders are Colin Powell and Jaber Al-Ahmad Al-Sabah?";"Gulf War"
"2049";"Did Bob Dylan write the lyrics of the times they are a changin'?";"Yes"
"3908";"What is the debut team of people born in Vargas?";"Chicago White Sox, San Francisco Giants, Houston Astros"
"376";"Name all those whose spouses have performed with Tony Bennett?";"Lennie Hayton, Ella Fitzgerald"
"4101";"Count the band members of Skull Gang?";"3"
"3265";"Which territory of Tonkin campaign is also the death place of Theophane Venard ?";"Tonkin"
"4795";"Was John muir one of the first to ascend a mountain on Mt hoffmann?";"Yes"
"4551";"Is Christchurch the largest city of South Island?";"Yes"
"3520";"Which religion is followed by the PM who was served by Chea Sim?";"Theravada, Buddhism"
"2782";"What is the sovereign state of the Dafydd Benfras where Jasmine Lowson is also citizen of?";"United Kingdom"
"4458";"What is the resting place of the child of Linda Lee Cadwell?";"Lake View Cemetery (Seattle), Washington (state), Seattle"
"4929";"In how many different places are Brown haired models living?";"20"
"276";"How many people are known for Dragons' Den?";"10"
"2383";"How many sports are played at the university whose president is Emanuel de Guzman?";"45"
"236";"What is the major shrine of Jacques-Dsir Laval ?";"Mauritius, Sainte-Croix, Mauritius"
"149";"Who were all the people in office when bob hawke was the PM?";"answer"
"3837";"Which sports exist in the universities whose president is Emanuel de Guzman?";"Badminton, Basketball, Chess, Tennis, Ultimate (sport), Volleyball, Archery, Water polo, Football, Track and field, Flying disc games, Swimming (sport), Combat sport"
"64";"In which team did Dave Bing and Ron Reed started their basketball career?";"Detroit Pistons"
"1832";"Whose songs are Tickle Me and Viva Las Vegas?";"Elvis Presley"
"972";"Who is the founder of European School, Karlsruhe?";"European Union"
"4201";"Does KOMC play Gospel Music?";"Yes"
"3012";"Where was Henri, Duke of Rohan laid to rest?";"Geneva"
"702";"Where are INKAS located which is also the state of origin for Jojo Chintoh?";"Ghana"
"4833";"Was Michael Schumacher the Pole driver of 1994 Spanish Grand Prix?";"Yes"
"2920";"Why did Letita McTavish Hargrave and Sextus Barbour die?";"Cholera"
"952";"Which mountain range is the one with Ponte d'Aveneyre and Le Gibloux?";"Swiss Alps"
"3329";"Give me all office holders who finally retired in Montpelier, Orange, Virgina?";"James Madison"
"2779";"Name the common nationality of Georgina Theodora Wood and akwasi Oppong Fosu ?";"Ghana"
"4719";"Give me some TV stations whose network's main language is American English?";"answer"
"685";"How many religions are followed by the people in the Royal Thai Army?";"18"
"207";"What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?";"Blade Runner"
"36";"List the teams for which Bobby Hoppe played ?";"San Francisco 49ers, Washington Redskins, *"
"750";"Semani languages are spoken in which countries?";"Iran"
"690";"From which state do the White Plum Asangas come?";"North America"
"423";"Who founded the city where First Church of Christ, Scientist is located?";"George Washington, John Forbes (British Army officer)"
"4650";"Where did the people die who were known for Young Life?";"Colorado, Colorado Springs, Colorado, United States"
"2048";"List the things for which the relatives of Mrunalini Kunte are known?";"Chess"
"574";"How many cities are around the sea into which the aegean sea flows?";"13"
"4382";"Who are the people whose phD advisor was Harry Harlow?";"Abraham Maslow"
"346";"Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?";"Calvin Coolidge"
"1538";"Who manufactures the SHO V8?";"Yamaha Motor Company, Ford Motor Company"
"1372";"Does the Sicklefin lemon shark belong in the animal kingdom?";"Yes"
"4849";"What awards were presented to the person who produced Paradise place?";"Academy Awards, Goethe Prize, Praemium Imperiale"
"2664";"Which country were the associates of Hilda Duhalde from?";"Argentina"
"4236";"Who starred in Nothing in Common and produced From the Earth to the Moon?";"Tom Hanks"
"439";"Which fields are covered by academic journals in the US?";"answer"
"1478";"Where did the plays written by Robert Schenkkan take place?";"Seattle, Intiman Theatre Festival, Oregon Shakespeare Festival"
"1189";"What is the product of the BBC Multimedia and series of the The Last Resort (Doctor Who)?";"Doctor Who"
"1939";"To which political party do the children of Sonia Gandhi belong?";"Indian National Congress"
"4143";"What are some famous veterinary physicians known for?";"Blood, Bacillus anthracis"
"2037";"What are the artists that are associated with the Framptons camel album?";"Peter Frampton"
"2108";"What is the profession of William Luther Hill ?";"United States Senate"
"4171";"What is the total number of professions in which someone who has suicided worked?";"107"
"1727";"What is the location of the Walter Evans Edge office which is also the place of birth of henry Miller ?";"New Jersey"
"2590";"Where did the beverage sold by Refriango originate?";"Angola"
"4087";"List the websites which the authors of Tornado own ?";"Facebook"
"2430";"Where were Justina Machado and John Englehard born?";"Chicago"
"1086";"Who owns the newspaper which was founded by Nehru?";"Indian National Congress"
"1378";"What belongs to the families of Buccinidae and Buccinoidea?";"answer"
"3938";"Was Class Conflict an interest of Karl Marx?";"Yes"
"2374";"Does the north carolina highway 280 end in Arden?";"Yes"
"468";"Who gives the license of WXXV-DT2?";"Incorporation (business), Mississippi, Morris Network of"
"180";"Which holy places did consider Pope Gregory I as a saint?";"Anglican Communion, Eastern Orthodox Church, Catholic Church, Lutheranism"
"4952";"Where did john o conner study?";"Villanova University, St. Charles Borromeo Seminary, Georgetown University"
"3787";"Where did Allama Matthews study?";"Vanderbilt University"
"245";"Count all the scientologists.";"30"
"2567";"How many molluscs are there whose families are Buccinidae and Buccinoidea?";"567"
"3468";"Bud Adams owns which american football team?";"Tennessee Titans, History of the Houston Oilers"
"1616";"List everything in which saxophone players have been cast.";"answer"
"146";"What system is both a platform where Nord runs and also distributed The beauty inside?";"Facebook"
"3686";"Was Castillo discovered by Galileo?";"Yes"
"4966";"Which office holder's constituency is Haight-Ashbury and has military unit as USS Kittiwake ?";"Harvey Milk"
"1999";"What is the mascot of Galatasaray Handball Team ?";"Lion"
"802";"Which awards did the narrator of Oscar and Lucinda win?";"Academy Awards, Tony Award, Primetime Emmy Award, Screen Actors Guild Award, British Academy Film Awards, Golden Globe Award"
"1174";"What is the nation of the Major All Stars Season 1 and Pioneer Corporation ?";"Malaysia"
"3664";"Do the polet airlines fly to moscow?";"Yes"
"1635";"Name the television show directed by Simon Fuller and judged by Jennifier Lopez?";"American Idol"
"4412";"Which broad cast area of CFRX is the country of North America Poker Tour ?";"North America"
"3724";"Name some sports played in institutions of Maharashtra?";"answer"
"4840";"South Side elevated railroad and twin cities 400 are operated by which city?";"Chicago"
"3667";"Name some islands in a pacific archipelago?";"answer"
"1286";"Is Lancy a city close to Geneva?";"Yes"
"3065";"Which fictional character is portrayed by Roger Barton (film editor)?";"Luke Skywalker, Princess Leia"
"4759";"What are the houses of legislature in the political leader's seat of Medininagar?";"Rajya Sabha, Lok Sabha"
"2759";"How many different genres of games can I find which are compatible with the Commodore 64?";"1406"
"2190";"Who is the owner of  Chelsea F.C. ?";"Roman Abramovich"
"716";"Does Cascade Airways have a hub in Seattle?";"Yes"
"3909";"Which companies have Kumho Asiana Group as their parent company?";"Asiana Airlines, Kumho Tire, Asiana IDT, Air Busan"
"1850";"What is the city of the 2015 MLS All-Star Game and birthplace of the The Okee Dokee Brothers?";"Colorado"
"2305";"List TV shows with producer as Erik Bork and company is DreamWorks Television ?";"Band of Brothers (miniseries)"
"987";"Is Peter Piper Pizza in the pizza industry?";"Yes"
"3271";"Count all the universities who participated in the tournament won by Alabama Crimson Tides in 2015 ?";"26"
"1276";"What state was Cyrus Mann born in, and has the famous Downriver?";"Michigan"
"4349";"Which TV show's company is PlayTone and is produced by Stephen E. Ambrose ?";"Band of Brothers (miniseries)"
"4644";"How many teams was Garry Unger in, previously?";"8"
"2555";"List the name of those who became famous for something garrisoned at Tennessee?";"Ernest Lawrence, Vannevar Bush, Chien-Shiung Wu, Philip Burton Moon, James Chadwick, George Kistiakowsky, Samuel King Allison, Alvin M. Weinberg, Priscilla Duffield, Robert Bacher, Dorothy McKibbin, William G. Pollard, Robert E. Sheriff, George Cowan, Charles Critchfield"
"4968";"Which TV show's writer is Erik Jendresen and distributor is HBO?";"Band of Brothers (miniseries)"
"2644";"What are some cars similar to the ones assembled at Toluca?";"answer"
"4707";"What is the allegiance of Albert Kwesi Ocran ?";"Ghana"
"605";"Name the scientist who was the winner of Royal Society award and had Georg Meissner as his doctoral advisor ?";"Robert Koch"
"2321";"Does the white river flow into the connecticut river?";"Yes"
"3617";"Where did Louis chevrolet die ?";"Detroit, Michigan, United States"
"2945";"Which river has its roots in Baikal Mountains?";"Lena River"
"2415";"List the relative of Tim Nanai-Williams ?";"Sonny Bill Williams, Nick Williams"
"3688";"Who are the chancellors of universities which is affiliated with Plymouth University?";"Dawn French"
"2864";"From how many different places have participants of Breeders's Cup Turf come?";"32"
"4071";"Who gave the musical score of 9 to 5 (musical) ?";"Dolly Parton"
"3342";"Who is the leader of Allgemeine SS ?";"Heinrich Himmler"
"4618";"How many movies are distributed by Cinema International Corporation?";"22"
"4199";"Does Chicago own the Monroe Station?";"Yes"
"4653";"Give me a count of movies whose editor is Mark Stevens?";"14"
"230";"Which Fox show is presented by Ryan Seacrest?";"American Idol, Knock Knock Live"
"1168";"Name the river passing through Reading Berkshire and has mouth place at Essex?";"River Thames"
"2007";"What is the currency of Republic of Montenegro (1992-2006) ?";"Euro, Yugoslav dinar, Deutsche Mark"
"3330";"What is the headquarters of Juan Dalmau Ramerez?";"Puerto Rico, San Juan, Puerto Rico"
"3921";"Name the television program voiced by Isaac Hayes and aired on Comedy Central?";"South Park"
"3229";"Name the award given in Norway and presented by Swedish Academy ?";"Nobel Prize"
"984";"List all the doctoral student of the scientist who has advised John Bowlby?";"Abraham Maslow, Mary Ainsworth, John Bowlby"
"2052";"How many saints have been venerated in Judaism?";"29"
"2771";"Which non fictional subject of Thud is the athletics of PATTS College of Aeronautics ?";"Chess"
"3371";"What is the occupation of the band members of The Shirelles?";"Chess, Singing, Record producer, Songwriter"
"2833";"What is the religious affiliation of Hong Kong Taoist Association Tang Hin Memorial Secondary School ?";"Taoism"
"3974";"For how many PMs did the politician work, whose successor was Kingsley Wood?";"12"
"3666";"In which state is the alma matter of Jan Paulsen located ?";"Baden-Württemberg, Michigan"
"1059";"What are the track and field events of Jamiatu Muslim Mindanao?";"Association football, Badminton, Baseball, Basketball, Chess, Volleyball"
"3294";"Whose predecessor had Jenny Macklin as a deputy ?";"answer"
"979";"Mike Shinoda is in which band?";"Linkin Park"
"2494";"What is the home town of Rolando Gomez and is also the place of death of Clyde McNeal?";"San Antonio"
"4214";"Which hub of Cascade Airways is also the resting place of Brandon Lee ?";"Washington (state), Seattle"
"4288";"What is the birthplace of the netball player who is the relative of Rachel Rasmussen ?";"Auckland Region, New Zealand, Auckland"
"4875";"Which hockey team is head coached by Bill Peters?";"Carolina Hurricanes"
"4623";"Which person works at the American Magazine?";"Lincoln Steffens"
"481";"What are the cities located on the sea into which the Aegean Sea flows?";"Alexandria, Algiers, Athens, Barcelona, Carthage, Rome, Beirut, Dubrovnik, Tel Aviv, Tripoli, Tunis, İzmir, Tangier"
"1184";"Who owns the schools which have a penguin as its mascot?";"Maine"
"4309";"Name the movie whose director is Stanley Kubrick and editor is Anthony Harvey?";"Dr. Strangelove, Lolita (1962 film)"
"1325";"Name the movies writtten by the group Monty Python?";"Monty Python's Life of Brian, Monty Python and the Holy Grail, Monty Python's The Meaning of Life, Monty Python Live at the Hollywood Bowl, And Now for Something Completely Different, Monty Python: Almost the Truth (Lawyers Cut)"
"4280";"What show has writing of Erik Jendresen and Graham Yost?";"Band of Brothers (miniseries)"
"204";"Who were in the youth clubs that were in season of 2015 Argentine Primera Division?";"answer"
"3020";"Which city near to Elliott Bay was the death place of George F. Moore?";"Seattle"
"2972";"List all the mebers of Mekong River Commission?";"Laos, Thailand, Cambodia, Vietnam"
"2922";"What are Breann McGregor and Anika Knudsen, both known for?";"Playboy, Playboy Cyber Club, '', appearance"
"3507";"Who are the shareholders of the soccer club for whom Steve Holland plays?";"Roman Abramovich"
"640";"List the broadcast area of the TV stations which also serves in Agalga?";"Mauritius, Rodrigues, Agaléga, Worldwide, worldwide"
"304";"What is the place of birth of the stars of Auto Shankar ?";"Mysore State, Koteshwara, Kundapur Taluk, Mumbai, Tamil Nadu, Chembur, Mangalore, Bangalore"
"3751";"Which city which owns Boundary Dam and was the place for Soccer Bowl '76?";"Seattle"
"1335";"Whose opponents are Ike Clanton and Billy Clanton?";"Wyatt Earp"
"4387";"In how many places have people canonized by John Paul II died?";"77"
"919";"Whose theme music was composed by a band which collaborated with Phish?";"South Park"
"4856";"How many cars succeed the cars assembled in Canada?";"82"
"349";"List down the schools whose mascot's order is Even-toed ungulate?";"answer"
"4110";"What are the important buildings of the architect whose one of the significant building is Krasnye Vorota?";"Moscow, Kiev, Krasnye Vorota (Moscow Metro), Moscow Metro, Government Building, Kiev"
"431";"List the stadium of the teams which uses Nea Smyrni as one of the stadium?";"answer"
"630";"Which company is the parent company of Chevrolet Spark?";"General Motors"
"2296";"Name the office holder with associate as Marcus Calpurnius Bibulus and has a kid named Augustus?";"Julius Caesar"
"3945";"How many different organizations own the railway lines which are a part of Norfolk Southern Railway?";"2"
"3245";"Mota Engil built bridges over which rivers?";"Zambezi"
"601";"Does the Vadodara Railway station lie at the end of the Mathura Vadodara route?";"Yes"
"929";"Which television show is the subsequent work of Frasier and the opening theme is Gary Portnoy?";"Cheers"
"677";"Who was the bronze medalist of Swimming at the 2008 Summer Olympics Men's 400 metre individual medley?";"Ryan Lochte"
"112";"What is the province of Rouen Business School?";"Normandy"
"3351";"In which part of the world can i find Xynisteri and Mavro?";"Cyprus"
"2793";"List the universities with athletics NCAA Division I Football Bowl Subdivision?";"answer"
"1652";"Who produced the Pixar Image Computer?";"Pixar"
"1758";"Which football players currently have their contracts with Stoke City F.C.?";"answer"
"3408";"Give me an estimate number of races where horses grandsired by the Wild Risk have raced in?";"11"
"4547";"List the destinations of Novair International Airways ?";"Mediterranean Sea, North America"
"3151";"What is the common product of the Apple Productivity Experience Group and services of the 21Vianet ?";"Microsoft Office"
"1139";"Which president of the United States had vice president as John Adams?";"George Washington"
"3452";"Is Rajya Sabha a house of parliament in India?";"Yes"
"983";"Which associated band of the Teddy Riley is also the performer of the Before I Let You Go?";"Blackstreet"
"650";"Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past?";"Shawnee Smith, Brynn Carman, Andrea Poapst, Ivan Dimitrov (figure skater), Tiffany Vise, Stacey Pensgen, Ryan Bradley, Derek Trent, Laureano Ibarra"
"3153";"Name the sovereign state of Wallington railway station ?";"United Kingdom"
"2316";"Which admin center of pulau Ujong is also the largest city of Pulau Ubin ?";"Singapore"
"4898";"Who was the parent of person whose child is William C P breckinridge?";"United States Senate"
"4495";"Which serving railway line of the Daund Junction railway station is the home port of INS Viraat ?";"Mumbai"
"3836";"Where does the network cofounded by Seewoosagur Ramgoolam air its shows?";"Mauritius, Rodrigues, Agaléga, Worldwide"
"4129";"Is Robin Gibb the singer of Oh! Darling?";"Yes"
"4923";"Which  person has opponent Ike Clanton?";"Wyatt Earp"
"993";"What organisations purpose is Peace?";"Greenpeace, International Physicians for the Prevention of Nuclear War, Greenpeace Nordic, CGNet Swara"
"370";"What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?";"Vanderbilt University"
"1975";"Name the office holder whose constituency is Haight-Ashbury?";"Harvey Milk"
"4238";"Who is the builder of the Stadium of Costa Rica women's national football team?";"China"
"3112";"Which musical artists have collaborated with Waylon Jennings?";"Anita Carter, Bob McDill, Blake Chancey, Bobby Bare, Billy Joe Shaver, Sammi Smith, Frankie Miller, Shooter Jennings, Jesse Dayton, Willie Nelson, Jessi Colter, Ray Wylie Hubbard, Tommy Allsup, Don Bowman (singer), Ray Pennington"
"2129";"Does Ronaldinho play in the brazil's under 23 team?";"Yes"
"1620";"Where did the president study, who's the president of Besiktas JK?";"University of Florida, Turkey, Florida, Yıldız Technical University, Istanbul, United States"
