"question_id";"question";"answer"
"47";"What is the park for located in the administrative territorial entity of Rome";"Pincian Hill, Orti Farnesiani sul Palatino, Villa Ada, Horti Clodiae, Villa Gordiani, Parco degli Scipioni, Villa Celimontana, Parco degli Acquedotti, Parco archeologico di Centocelle, Parco di Villa Glori, Parco Torre del Fiscale"
"48";"What is worked at of Louis Agassiz, that has subsidiary company is Davis Center for Russian and Eurasian Studies, Harvard University ?";"Harvard University"
"49";"What is significance of artist of The Beatles' Story ?";"""Sgt. Peppers Lonely Hearts Club Band"", Abbey Road, Let It Be, Revolver, Yesterday, Here Comes the Sun, Come Together, Strawberry Fields Forever, Hey Jude, I Want to Hold Your Hand"
"50";"What is albedo of Saturn ?";"0.47, 0.342"
"51";"Give me branch of science that contains the word volkerpsychologie in their name";"volkerpsychologie"
"52";"what is the burial plot reference for Henrik Ibsen has place of burial as Vår Frelsers gravlund ?";"12289"
"53";"How many noble title are for Charles the Bald ?";"4"
"54";"What is position held of George Canning and end time";"1827-04-20T00:00:00Z, 1820-02-29T00:00:00Z, 1822-09-16T00:00:00Z, 1796-05-20T00:00:00Z, 1827-08-08T00:00:00Z, 1812-09-29T00:00:00Z, 1807-04-29T00:00:00Z, 1818-06-10T00:00:00Z, 1821-01-01T00:00:00Z, 1802-06-29T00:00:00Z, 1801-01-01T00:00:00Z, 1827-04-10T00:00:00Z, 1815-01-01T00:00:00Z, 1826-06-02T00:00:00Z, 1806-10-24T00:00:00Z, 1827-08-08T00:00:00Z, 1827-08-08T00:00:00Z, 1827-04-20T00:00:00Z"
"55";"Give me space center that contains the word space in their name";"Goddard Space Flight Center, Kennedy Space Center, Vikram Sarabhai Space Centre, Tsukuba Space Center, Teófilo Tabanera Space Center, Kagoshima Space Center, Andøya Space, Uchinoura Space Center, Manned Space Flight Network, Tanegashima Space Center"
"56";"What is follows and followed by of Lothair I has noble title as king of Franks";"Louis the Pious, Louis the Pious, Louis the Pious"
"57";"What is before was of language official of Champa ?";"Vedic Sanskrit"
"58";"What is used for treatment of death cause of Madhavrao I ?";"aminosalicylic acid, ethambutol, ethionamide, capreomycin, pyrazinamide, cycloserine, isoniazid, Viomycin"
"59";"What is order of Augustine of Canterbury, that has founded in is Abbey of Monte Cassino ?";"Benedictines"
"60";"What is spouse of Shirley Jackson that is start time is 1940-0-0 ?";"Stanley Edgar Hyman"
"61";"Does the torque of the BMW M20B20 equals 160";"True"
"62";"What is the musical for based on of The Count of Monte Cristo";""
"63";"What is the airport for place served by transport hub of Belgrade";"Belgrade Nikola Tesla Airport, Lisičji Jarak Airport, Progar Airport"
"64";"What is town of Al Jawf Region, that has diplomatic relation is Sweden ?";"Saudi Arabia"
"65";"What is nominated for of Amélie that is nominee is Jean Umansky ?";"Academy Award for Best Sound"
"66";"Did Paul VI work location Rome and Munich ?";"False"
"67";"How many time-weighted average exposure limit are for arsenic ?";"6"
"68";"How many superhuman feature or ability are for Wonder Woman ?";"9"
"69";"What is forename of Walter Yeo, that has similar to is Wöltje ?";"Walter"
"70";"what is the point in time for Glen Campbell has award received as Grammy Hall of Fame ?";"2007-01-01T00:00:00Z, 1999-01-01T00:00:00Z, 2003-01-01T00:00:00Z"
"71";"What is member of of find spot of Ebola virus disease ?";"United Nations, African Union, UNESCO, World Health Organization, World Trade Organization, Interpol, Universal Postal Union, Organisation internationale de la Francophonie, International Civil Defence Organisation, World Meteorological Organization, Economic Community of Central African States, International Bank for Reconstruction and Development, International Hydrographic Organization, Organisation of African, Caribbean and Pacific States, African Development Bank, International Telecommunication Union, International Finance Corporation, Southern African Development Community, International Development Association, Organisation for the Prohibition of Chemical Weapons, International Centre for Settlement of Investment Disputes, Multilateral Investment Guarantee Agency, OHADA, Gulf of Guinea Commission"
"72";"What is introduced of prize received of Semyon Budyonny ?";"1942-12-22T00:00:00Z, 1934-04-16T00:00:00Z, 1930-04-06T00:00:00Z, 1945-05-09T00:00:00Z, 1918-09-16T00:00:00Z, 1941-05-16T00:00:00Z, 1967-12-26T00:00:00Z, 1965-05-07T00:00:00Z, 1948-02-22T00:00:00Z, 1944-05-01T00:00:00Z, 1944-05-01T00:00:00Z, 1945-09-30T00:00:00Z, 1942-12-22T00:00:00Z, 1938-01-24T00:00:00Z, 1969-11-05T00:00:00Z, 1957-12-18T00:00:00Z, 1957-05-16T00:00:00Z, 1939-08-01T00:00:00Z, 1947-09-20T00:00:00Z, 1913-08-23T00:00:00Z, 1970-09-23T00:00:00Z, 1970-06-09T00:00:00Z, 1967-04-20T00:00:00Z, 1926-01-01T00:00:00Z, 1913-08-23T00:00:00Z, 1913-08-23T00:00:00Z, 1913-08-23T00:00:00Z, 1913-08-23T00:00:00Z"
"73";"What is twinned administrative body of New Orleans that is start time is 2012-1-1 ?";"Rosh HaAyin, Batumi, Klaipėda"
"74";"What is birth city of Johann Strauss II, that has size is 1.61 ?";"Neubau"
"75";"Does the temperature of the cosmic microwave background radiation equals 2.72548";"True"
"76";"How many has grammatical person are for French ?";"10"
"77";"What is ResearcherID of Andrey Korotayev ?";"N-1160-2018"
"78";"What is given name of Heinrich Himmler that is series ordinal is 1 ?";"Heinrich"
"79";"What is statement describes of Pythagorean theorem ?";"right triangle"
"80";"What is euroleague.net ID of Arvydas Sabonis ?";"AYO"
"81";"What is Städel Museum artist ID of Käthe Kollwitz ?";"kollwitz-kaethe"
"82";"What is Deutsche Olympiamannschaft athlete ID of Ralf Schumann ?";"ralf-schumann"
"83";"What is the collective pseudonym for said to be the same as of Coen brothers";"Roderick Jaynes"
"84";"What is the human for child of Prince George of Cambridge";"Catherine, Duchess of Cambridge, Prince William, Duke of Cambridge"
"85";"How many author of foreword are to/by John Lasseter ?";"5"
"86";"What is position held of Hermann Göring that is replaces is Franz von Papen ?";"Vice-Chancellor of Germany, Minister President of Prussia"
"87";"What is has grammatical gender of second language of Aleksandar Šapić ?";"masculine, feminine, masculine, feminine, neuter, masculine, common gender, feminine, neuter"
"88";"What is the parabolic reflector for operator of University of Toronto";""
"89";"What is developer of academic discipline of Petr Vopěnka ?";"Georg Cantor"
"90";"What is head of government of Texas that is end time is 2015-1-20 ?";"Rick Perry"
"91";"What is oxidation state of phosphorus ?";"-3, -2, -1, 1, 2, 3, 4, 5"
"92";"what is the end time for Bruges has located in the administrative territorial entity as County of Flanders ?";"1795-01-01T00:00:00Z"
"93";"What is the public office for position held of John Jay";"Chief Justice of the United States, United States Secretary of State"
"94";"What is exploitation visa number of Grease ?";"49628"
"95";"what is the series ordinal for Peter the Great has spouse as Eudoxia Lopukhina ?";"1"
"96";"Give me dynasty that contains the word paduspanids in their name";"Paduspanids"
"97";"What is the unitary state with the MAX(real gross domestic product growth rate) ?";""
"98";"How many depicts are for Primavera ?";"12"
"99";"what is the place of publication for The Shining has publication date as 1980-11-7 ?";"Sweden, United States of America, United Kingdom, Germany, Japan"
"100";"What is the art museum for residence of Rembrandt";"Rembrandt House Museum"
"101";"What is date of birth and mother of John Adams has child as Abigail Adams Smith";"1765-07-14T00:00:00Z"
"102";"What is item operator of inventor or discoverer of 13413 Bobpeterson ?";"National Aeronautics and Space Administration, University of Arizona"
"103";"What is the legislature for location of Indore";"Indore Municipal Corporation"
"104";"What is LinkedIn company ID of Nanyang Technological University ?";"165091"
"105";"what is the numeric value for atomic nucleus has has quality as baryon number ?";"1"
"106";"What is position held of Harold Holt and electoral district";"Fawkner, Higgins"
"107";"What is award received of Henry Dunant and prize money";"75391"
"108";"What is the library for archives at of Bonn";"Stadtarchiv und Stadthistorische Bibliothek Bonn"
"109";"what is the series ordinal for Helmut Kohl has given name as Michael ?";"3"
"110";"What is the Vostok for astronaut mission of Yuri Gagarin";"Vostok 1"
"111";"What is award received of Shimon Peres and together with";"Yizhak Rabin, Yasser Arafat"
"112";"What is subject has role of Harry Potter that is of is Harry Potter ?";""
"113";"Does the vehicles per thousand people of the Dubai equals 540";"True"
"114";"What is nominee for of The Apartment, that has victor is George Arliss ?";"Academy Award for Best Actor"
"115";"How many connects with are for Trans-Siberian railway ?";"27"
"116";"What is V&A art work ID of California Institute of the Arts ?";"O1176676"
"117";"what is the point in time for Phuket has population as 394169.0 ?";""
"118";"What is located in time zone of Saint-Denis that is valid in period is daylight saving time ?";"UTC+02:00"
"119";"What is PhD advisor of Clifford Geertz, that has significant works is The Structure of Social Action ?";"Talcott Parsons"
"120";"What is is in the rural city of of Fukushima, that has has rural cities is Kawamata ?";"Fukushima Prefecture"
"121";"Give me recurring sporting event that organizer Tennis Australia and which contains the word australian in their name";"Australian Open"
"122";"What is nominated for of Anne Revere that is point in time is 1943-1-1 ?";"Academy Award for Best Supporting Actress"
"123";"What is nominated for of Joel Grey that is statement is subject of is 33rd Tony Awards ?";"Tony Award for Best Actor in a Musical"
"124";"What is coined of RNA polymerase, that has work is biochemist ?";"Audrey Stevens Niyogi"
"125";"What is topic of of history of the Maldives, that has inhabitants is 227863.0 ?";""
"126";"What is given name of Gian Lorenzo Bernini that is series ordinal is 1 ?";"Gian"
"127";"What is the medication for significant drug interaction of erythromycin";"clarithromycin, pimozide, azithromycin, droperidol, haloperidol, chlorpromazine, anagrelide, dronedarone, amiodarone, quinidine, sotalol, pentamidine, procainamide, terfenadine, sevoflurane, flecainide, sulpiride, chloroquine, astemizole, escitalopram, domperidone, moxifloxacin, disopyramide, cisapride, halofantrine, sparfloxacin, dofetilide, ibutilide, bepridil, mesoridazine, probucol, arsenic trioxide, cocaine, thioridazine"
"128";"Does the magnification of the TZF 5e equals 2.4";"True"
"129";"How many member of political party are for Mátyás Rákosi ?";"6"
"130";"What is record held of sports event of Kamal Ziani ?";"Eliud Kipchoge, Dennis Kipruto Kimetto, Kenenisa Bekele"
"131";"Did Chuck_Berry instrument Fender Stratocaster and Gibson ES-335 ?";"True"
"132";"What is the sinking with the MAX(number of missing) ?";""
"133";"What is the nonprofit organization for authority of association football";"FIFA"
"134";"What is continent of Jin dynasty, that has pronunciation audio is Fr-Asie.ogg ?";""
"135";"How many intended public are to/by woman ?";"19"
"136";"What is literary genre of artist of Sarah Brightman in Concert ?";"musical, baroque pop, world music, operatic pop"
"137";"What is written by of mentioned in of Trishira ?";"Valmiki"
"138";"What is satellite bus of X Window System ?";"PekWM"
"139";"Does the eligible voters of the Catalan regional election 2015 in Castell de l'Areny equals 48.0";"False"
"140";"what is the court for Jari Sillanpää has convicted of as driving under the influence ?";"District Court of Helsinki"
"141";"How many student of are for Caspar David Friedrich ?";"4"
"142";"what is the academic degree for Katherine Dunham has educated at as University of Chicago ?";"Doctor of Philosophy, bachelor's degree"
"143";"What is educated at of Bernice Rubens and academic major";"English"
"144";"What is the constituency of the Rajya Sabha for coextensive with of Himachal Pradesh";"Himachal Pradesh"
"145";"What is start time and end time of Belfast has country as United Kingdom of Great Britain and Ireland";"1801-01-01T00:00:00Z"
"146";"What is the aircraft family for item operated of easyJet";"Airbus A320 family"
"147";"What is the heterocyclic compound with the MAX(mass) whose has part is fluorine  ?";"astemizole, fluphenazine, iloperidone, risperidone, trifluperidol"
"148";"What is wives of landscape of of Snake Dance, Ruth St. Denis ?";"Ted Shawn"
"149";"What is the biographical database for location of formation of University of Toronto";""
"150";"Does the maximum peak exposure limit of the styrene equals 3067.2";"False"
"151";"What is cases of first language of Dirk Nowitzki ?";"nominative case, dative case, accusative case, genitive case"
"152";"What is game mechanics of Dungeons & Dragons ?";"d20 System"
"153";"Does the speed of the MV Explorer equals 12.5";"True"
"154";"What is mushroom cap shape of Pleurotus ostreatus ?";"offset mushroom cap"
"155";"What is drug interaction of prescribed drug of focal epilepsy ?";"paracetamol"
"156";"What is the sports season for participant of Magnus Carlsen";"World Chess Championship 2014, World Chess Championship 2018, Ставангер 2017"
"157";"Did Garth_Brooks record label Big Machine Records and Decca ?";"False"
"158";"Does the luminosity of the Alpha Andromedae less than 240.0";"True"
"159";"What is the human for spouse of Oliver Cromwell";"Elizabeth Cromwell"
"160";"How many mountain range are to/by Sayan Mountains ?";"4"
"161";"What is substrate of of vegetable oil ?";""
"162";"What is studied by of subitem of of engineering ethics ?";"engineer, engineering scientist"
"163";"What is Wikimedia language code of Quechua ?";"qu"
"164";"What is the product with the MAX(consumption rate) ?";"petroleum"
"165";"What is member of of founder of postmodernism ?";"American Academy of Arts and Sciences"
"166";"What is the constitutional monarchy for contains administrative territorial entity of Oslo";"Norway"
"167";"What is member of sports team of Sébastien Chabal that is end time is 2014-1-1 ?";"Lyon OU"
"168";"Does the number of platform tracks of the Danube equals 1";"True"
"169";"What is top-level Internet domain of Saint-Barthélemy ?";".bl"
"170";"Give me philosophical movement that practiced by atheist and which contains the word atheism in their name";""
"171";"What is Cultural heritage database in Austria ObjektID of Belvedere ?";"68612"
"172";"Give me game that starts with 'z'";"Zauberturm, Zirè, Zatch Bell! The Card Battle"
"173";"Give me painting that contains the word young in their name";"Young Girls in Black, A Young Tiger Playing with its Mother, Three Angels and Young Tobias, Young Virgin Auto-Sodomized by the Horns of Her Own Chastity, Portrait of a Young Man, Portrait of a young woman, Young man in Mayo costume, Young Spartans Exercising, A Young Girl Reading, Madonna and Child with the Young Saint John the Baptist, Virgin and Child with the Young Saint John the Baptist, Madonna and Child with the Young Saint John, Madonna and Child and the Young St John the Baptist, Portrait of a Young Woman, Young Lady in 1866, Madonna and Child and the Young St John the Baptist, Portrait of a Young Woman, Madonna with Child with Young John the Baptist, Portrait of a Young Man with an Apple, Young Bacchus, Self-portrait as a young man, Allegory of Salvation with the Virgin and Christ Child, St. Elizabeth, the Young St. John the Baptist and Two Angels, Virgin and Child, with Saint Elizabeth and the Young Saint John the Baptist, Portrait of a Young Fürleger with Loose Hair, Young Man with Arrow"
"174";"What is the borough in the United Kingdom for contains administrative territorial entity of Norfolk";"Great Yarmouth, ""Kings Lynn and West Norfolk"", Norwich"
"175";"How many crew member are for Skylab ?";"9"
"176";"What is country of citizenship of Franz Kafka that is start time is 1883-7-3 ?";"Cisleithania"
"177";"What is the country of citizenship and the occupation of Bruno_Mars ?";"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America"
"178";"What is bordered by of principle office of The Daily Manila Shimbun ?";"Manila, Pasig, Taguig, Mandaluyong, Pasay, Pateros"
"179";"What is bestowed by of award won of Karmen Jelincic ?";"Human Rights Watch"
"180";"What is divisions of member of of École Centrale de Lille ?";"aeronautics, artificial satellite, helicopter, avionics, launch vehicle, aerospace manufacturer, business jet, air traffic flow management, air traffic management, aerospace engineering, motor car, rapid transit, railway, logistics, Galileo, High-speed rail, GPS tracking unit, Technical Specifications for Interoperability, supply chain management, Multimodal transport, intelligent transportation system, GSM-R, European Train Control System, cab signalling, European Rail Traffic Management System, transportation engineering, railway signal, transport network, combined transport, Terrestrial Trunked Radio, Politique européenne des transports ferroviaires, rolling stock, Fleet management, passenger information system, TETRAPOL, tram, land transport, automated guideway transit, electrical engineering, power electronics, automatic control, sustainable development, recycling, product-service system, sediment, waste management, rare earth element, primary raw material, demolition, circular economy, green economy, Ecodesign, environmental protection, upcycling, plastic recycling, environmental remediation, industrial ecology, Minor metals, ecotechnology, Bio-based material"
"181";"Give me sovereign state that highest judicial authority British Supreme Court for China and Japan and which that starts with 'j'";""
"182";"What is position held of F. W. de Klerk that is replaces is Alwyn Schlebusch ?";"Deputy President of South Africa"
"183";"What is contestant of series of Bully on the Bus ?";"Kristin Bauer van Straten, Kevin James, Katarina Witt, Georgia Engel, Kareem Abdul-Jabbar, Katherine Helmond, Ray Romano, Patricia Heaton, Shailene Woodley, Doris Roberts, Maggie Wheeler, Ana Ortiz, Geoff Stults, Ashley Crow, Jean Stapleton, Cheryl Hines, Debra Mooney, Monica Horan, Faune A. Chambers, Peter Boyle, Charles Durning, Brad Garrett, Argentina Brunetti, Robert Culp, Sam Anderson, Chris Elliott, Alex Meneses, Madylin Sweeten, Elizabeth Bogush, Tom McGowan, Nora Dunn, Senta Moses, Patience Cleveland, Len Lesser, Jason Kravits, Terry Bradshaw, Paul Reubens, Bob Odenkirk, Brian Posehn, Jack Betts, Jeff Garlin, Craig Anton, Suzie Plakson, Joel Brooks, Stephen Lee, Diana-Maria Riva, Iqbal Theba, Amy Aquino, ""John F. ODonohue"", Steffani Brass, Chelcie Ross, Ping Wu, Renata Scott, Sawyer Sweeten"
"184";"Does the trading fee of the Bitfinex equals 0.16";"False"
"185";"what is the point in time for Jeff Bridges has award received as Golden Globe Award ?";""
"186";"What is the writing system for different from of traditional Chinese characters";"legacy Hanzi"
"187";"What is instance of of Abbasid Caliphate that is start time is 1258-0-0 ?";"historical country"
"188";"What is public holiday of Georgia ?";"""New Years Day"", Europe Day, Easter Monday, ""Saint Georges Day"", Victory Day, Dormition of the Mother of God, Mtskhetoba, Independence Day, Baptism of the Lord, Paschal cycle, Bedoba, Day of National Unity of Georgia, Saint Andrew the First-Called Day, Christmas, Easter, ""International Womens Day"", Good Friday, ""Mothers Day"""
"189";"What is spin quantum number of boson ?";"1"
"190";"What is governing text of perjury, that has shortened name is StGB ?";"Strafgesetzbuch"
"191";"Give me dog breed that country of origin Germany and which contains the word weimaraner in their name";"Weimaraner"
"192";"What is educated at of Nicolaus Copernicus that is end time is 1503-0-0 ?";"University of Padua, University of Ferrara"
"193";"What is the natural satellite for parent astronomical body of Uranus";"Titania, Oberon, Umbriel, Ariel, Cordelia, Ophelia, Bianca Minolta, Cressida, Desdemona, Juliet, Rosalind, Portia, Cupid, Belinda, Puck, Perdita, Mab, Francisco, Caliban, Stephano, Trinculo, Sycorax, Margaret, Prospero, Setebos, Ferdinand"
"194";"What is the dialect for writing system of Arabic alphabet";"Andalusian Arabic, Egyptian Arabic, Maore, Central Atlas Tamazight, Gulf Arabic, Cypriot Arabic, Moroccan Arabic, Algerian Arabic, Libyan Arabic, Sanʽani Arabic, Saʽidi Arabic, Bedawi Arabic, Palestinian Arabic, Lop dialect, Ngazidja Comorian, Central Crimean, Northern Crimean, Southern Crimean dialect, Central Pashto, Waneci, Qashqadarya Arabic, Central Asian Arabic"
"195";"What is songwriter of Fantasia on a Theme by Thomas Tallis, that has disciple is Joan Trimble ?";"Ralph Vaughan Williams"
"196";"What is follows and followed by of Berengar I of Italy has noble title as monarch of Italy";"Charles the Fat, Louis the Blind, Arnulf of Carinthia"
"197";"What is position held of Al Franken that is start time is 2009-7-7 ?";"United States senator"
"198";"What is is in the village of of Negev, that has diplomatic relation is Czech Republic ?";"Israel"
"199";"Give me borough of New York City that category of associated people Category:People from Manhattan and which contains the word manhattan in their name";"Manhattan"
"200";"What is writer of prequel is of Girls under Pressure ?";"Jacqueline Wilson"
"201";"Give me physical object that starts with 'z'";"Zrzez"
"202";"Does the earthquake magnitude on the Richter magnitude scale of the 1995 Marathon earthquake equals 5.7";"True"
"203";"What is awards received of pupils of Enrico Fermi ?";"Albert Einstein Medal, Nobel Prize in Physics, Dannie Heineman Prize for Mathematical Physics, Guggenheim Fellowship, Ernest Orlando Lawrence Award, Helmholtz Medal, Franklin Medal, John J. Carty Award for the Advancement of Science, Richtmyer Memorial Award, William Procter Prize for Scientific Achievement, Foreign Member of the Royal Society, Humanist of the Year, Fellow of the American Physical Society, AAAS Fellow, Fellow of Pakistan Academy of Sciences, Fellow of the Committee for Skeptical Inquiry, Albert Einstein Medal, Nobel Prize in Physics, National Medal of Science, Bower Award and Prize for Achievement in Science, Guggenheim Fellowship, Josiah Willard Gibbs Lectureship, Oskar Klein Medal, Lars Onsager Prize, Rumford Prize, Benjamin Franklin Medal, AAAS Fellow, Foreign Member of the Royal Society, King Faisal International Prize in Science, Fellow of the American Physical Society, honorary doctor of the Fudan University, honorary doctor of the Chinese University of Hong Kong"
"204";"Give me angle that starts with 'e'";""
"205";"What is honorific prefix of Dame ?";"Joan Collins, Nellie Melba, Helen Mirren, Gracie Fields, Whina Cooper, Roma Mitchell, Alexandra Hasluck, Pat McGrath, Elisabeth Frink, Ann Parker Bowles, Helen Blaxland, Jocelyn Barrow, Katharine Furse, Monica Mason, Rosemary Cramp, dame, Juliet May, Elizabeth Taylor"
"206";"Does the oxidation state of the phosphorus equals 3";"True"
"207";"What is the film series for producer of Mike Myers";"Austin Powers"
"208";"What is Bien de Interés Cultural (BIC) code of Cave of Altamira ?";"RI-51-0000266"
"209";"What is together with of AIDS ?";""
"210";"what is the phase of matter for water has density as 0.9857 ?";"liquid"
"211";"Give me nutrient that starts with 'v'";""
"212";"Did Chennai twinned administrative body Chongqing and Ulsan ?";"True"
"213";"What is artwork of wedded to of Jane Pauley ?";"Doonesbury"
"214";"What is nominated for of Gwen Verdon that is point in time is 1966-0-0 ?";"Tony Award for Best Actress in a Musical"
"215";"How many territory overlaps are for Rideau Canal ?";"4"
"216";"What is the fictional humanoid for present in work of Looney Tunes";"Bosko"
"217";"What is in work of actor of Looney Tunes Super Stars' Pepe Le Pew: Zee Best of Zee Best ?";"Looney Tunes"
"218";"What is the spouse and the position played on team / speciality of Diego_Maradona ?";"Claudia Villafañe, Claudia Villafañe"
"219";"What is compiled by of published by of A Portrait of the Artist as a Young Man ?";"H.D., Harriet Shaw Weaver"
"220";"What is adjacent to of Essex, that has divides into is Royal Borough of Kensington and Chelsea ?";"Greater London"
"221";"What is diplomatic relation of Israel that is statement is subject of is Israel–United States relations ?";"United States of America"
"222";"Did Zinedine_Zidane position played on team / speciality midfielder?";"True"
"223";"What is the genetic association and the health specialty of Migraine ?";"LRP1, TRPM8, MEF2D, MMP17, FHL5, ASTN2, MARCHF4, PRDM16, PHACTR1"
"224";"What is spouse of Robert Shaw that is end time is 1975-1-1 ?";"Mary Ure"
"225";"What is located at street address of Air France that is postal code is 95747 ?";""
"226";"What is the sub-orbital spaceflight for astronaut mission of Alan Shepard";"Mercury-Redstone 3"
"227";"What is the chemical substance for named after of Physeter macrocephalus";"spermaceti"
"228";"What is cases of language official of Grand Duchy of Finland ?";"nominative case, accusative case, genitive case, essive case, ablative case, adessive case, inessive case, abessive case, elative case, illative case, distributive case, allative case, comitative case, partitive case, translative case, instructive case, temporal case, nominative case, dative case, accusative case, genitive case, vocative case, instrumental case, locative case, partitive case, prepositional case, nominative case, genitive case"
"229";"What is HQ location of member of party of Rajesh Khanna ?";"Akbar Road"
"230";"what is the point in time for Joe Greene has award received as AP NFL Defensive Player of the Year Award ?";"1974-01-01T00:00:00Z, 1972-01-01T00:00:00Z"
"231";"How many work location are to/by Wuppertal ?";"125"
"232";"Did Seoul contains administrative territorial entity Jongno District and Gangbuk District ?";"True"
"233";"Give me milk tea that starts with 't'";"Teh tarik"
"234";"What is publisher of Through the Looking-Glass ?";"Macmillan Publishers"
"235";"What is Cycling Quotient male cyclist ID of Chris Froome ?";"5789"
"236";"What is position held of Giorgio Vasari that is employer is House of Medici ?";"court painter"
"237";"What is Art Museum of Estonia artist ID of Egon Schiele ?";"1066"
"238";"what is the point in time for James Garner has nominated for as Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie ?";"1995-01-01T00:00:00Z, 1996-01-01T00:00:00Z, 1999-01-01T00:00:00Z"
