Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
What causes pneumonia ?|causes|What causes causes pneumonia|WDT|NN|VBZ|DESC
What are the three winter months in the southern hemisphere ?|are|What are are the|WDT|DT|VBP|NUM
What does gringo mean ?|mean|What does mean ?|WDT|.|VB|DESC
What country contains Africa 's northernmost point ?|contains|What country contains Africa|WDT|NNP|VBZ|LOC
What therapy attempts to elicit the `` primal scream '' ?|attempts|What therapy attempts to|WDT|TO|VBZ|ENTY
Where is the Kalahari desert ?|is|Where is is the|WDT|DT|VBZ|LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ?|seized|Which Ventura seized the|WDT|DT|VBD|HUM
What city is sometimes called Gotham ?|called|What city called Gotham|WDT|NNP|VBN|LOC
What dangles over the tongue from the palate ?|dangles|What dangles dangles over|WDT|IN|VBZ|ENTY
Who created Dennis the Menace ?|created|Who created created Dennis|WDT|NNP|VBD|HUM
What dummy received an honorary degree from Northwestern University ?|received|What dummy received an|WDT|DT|VBD|HUM
When was the first Wall Street Journal published ?|published|When was published ?|WDT|.|VBN|NUM
What countries have the largest areas of forest ?|have|What countries have the|WDT|DT|VBP|LOC
How do I start a web based business ?|start|How do start a|WDT|DT|VB|DESC
Name Alvin 's brothers|Name|Name Alvin|WDT|NNP|VB|HUM
What is Eagle 's syndrome styloid process ?|is|What is is Eagle|WDT|NNP|VBZ|DESC
How did Jayne Mansfield die ?|die|How did die ?|WDT|.|VB|DESC
When did the royal wedding of Prince Andrew and Fergie take place ?|take|When did take place|WDT|NN|VBP|NUM
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?|said|What actor said in|WDT|IN|VBD|HUM
What explorer was nicknamed Iberia 's Pilot ?|nicknamed|What explorer nicknamed Iberia|WDT|NNP|VBN|HUM
CNN began broadcasting in what year ?|what|began broadcasting what year|WDT|NN|VBD|NUM
What is a ball that hits the foul pole called ?|that|What is is a that hits|WDT|VBZ|VBZ|ENTY
What makes hamburgers taste like steakburgers ?|makes|What makes makes hamburgers|WDT|NNS|VBZ|DESC
Which company created the Internet browser Mosaic ?|created|Which company created the|WDT|DT|VBD|HUM
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?|are|What are are the|WDT|DT|VBP|ENTY
What was the education system in the 1960 's ?|was|What was was the|WDT|DT|VBD|ENTY
What South American city has the world 's highest commercial landing field ?|has|What South has the|WDT|DT|VBZ|LOC
How can I find out which cities have cable-modem access ?|which|How can find out which cities|WDT|NNS|VB|DESC
What is Betsy Ross famous for ?|is|What is is Betsy|WDT|NNP|VBZ|DESC
How many species of sharks are there ?|are|How many are there|WDT|RB|VBP|NUM
What is `` snoogans '' ?|is|What is is `|WDT|``|VBZ|DESC
How many people are there in the world ?|are|How many are there|WDT|RB|VBP|NUM
What shrubs can be planted that will be safe from deer ?|that|What shrubs planted that that will|WDT|MD|VBN|ENTY
What organization 's offices were broken into at Watergate in 1972 ?|broken|What organization broken into|WDT|IN|VBN|HUM
What is the design of the ship Titanic ?|is|What is is the|WDT|DT|VBZ|DESC
What does S.O.S. stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
Name a technique widely used to detect birth defects ?|Name|Name a|WDT|DT|VB|ENTY
What is the daily requirement of folic acid for an expectant mother ?|is|What is is the|WDT|DT|VBZ|DESC
What is the `` 7-minute cigarette '' ?|is|What is is the|WDT|DT|VBZ|DESC
What four forms does gold occur in ?|occur|What four occur in|WDT|IN|VB|ENTY
What is the acreage of the Chappellet vineyard ?|is|What is is the|WDT|DT|VBZ|NUM
How do you correctly say the word ` qigong ' ?|say|How do say the|WDT|DT|VB|DESC
When did beethoven die ?|die|When did die ?|WDT|.|VB|NUM
How much does a new railroad coal car cost ?|cost|How much cost ?|WDT|.|NN|NUM
What two European countries entered the War of American Independence against the British ?|entered|What two entered the|WDT|DT|VBD|LOC
What is the filmmakers collabrative ?|is|What is is the|WDT|DT|VBZ|DESC
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?|brought|What Russian brought him|WDT|PRP|VBD|HUM
What caused Harry Houdini 's death ?|caused|What caused caused Harry|WDT|NNP|VBD|DESC
Who was the mother of the man who would not be king , the duke of Windsor ?|who|Who was was the who would|WP|MD|VBD|HUM
How many revolutions does a standard LP make in three minutes ?|make|How many make in|WDT|IN|VB|NUM
What is the name of the tallest mountain in the world ?|is|What is is the|WDT|DT|VBZ|LOC
Where can I find a review of Nightmare on Elm Street in a film journal ?|find|Where can find a|WDT|DT|VB|LOC
What 's the slowest Olympic swimming stroke ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What was the name of the first Russian astronaut to do a spacewalk ?|was|What was was the|WDT|DT|VBD|HUM
What disease is transmitted by the Anopheles mosquito ?|transmitted|What disease transmitted by|WDT|IN|VBN|ENTY
What rum is so `` mixable '' it is a one-brand bar ?|is|What rum is a|WDT|DT|VBZ|ENTY
How many South American countries have the letter Z in their names ?|have|How many have the|WDT|DT|VBP|NUM
What is the contents of proposition 98 ?|is|What is is the|WDT|DT|VBZ|DESC
Where was George Washington born ?|born|Where was born ?|WDT|.|VBN|LOC
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .|killed|How many killed from|WDT|IN|VBN|NUM
Who wrote NN DT NNP NNP '' ?|wrote|Who wrote wrote NN|WDT|NNP|VBD|HUM
What is paracetamol ?|is|What is is paracetamol|WDT|NNP|VBZ|DESC
What are the powers and weaknesses of Green Lantern 's ring ?|are|What are are the|WDT|DT|VBP|DESC
Which mosquito 's bite draws blood , DT NN CC DT NN .|draws|Which mosquito draws blood|WDT|NN|VBZ|ENTY
When was the first steel mill in the United States built ?|built|When was built ?|WDT|.|VBN|NUM
What diminutive American female gymnast stole the show at the 1984 Olympics ?|stole|What diminutive stole the|WDT|DT|VBD|HUM
What is the origin of the name Katie ?|is|What is is the|WDT|DT|VBZ|DESC
What schools in the Washington , DC NN NN VBP NN NN NN NN .|NN|What schools NN .|WDT|.|NNP|HUM
When did the Berlin Wall go up ?|go|When did go up|WDT|RP|VB|NUM
Who is Terrence Malick ?|is|Who is is Terrence|WDT|NNP|VBZ|HUM
What instrument is Ray Charles best known for playing ?|is|What instrument is Ray|WDT|NNP|VBZ|ENTY
What 's the meaning of the Latin battle cry : Ad arma , ad arma .|'s|What 's 's the|WDT|DT|VBZ|DESC
What is the mascot for Notre Dame University ?|is|What is is the|WDT|DT|VBZ|ENTY
What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?|burned|What Las burned in|WDT|IN|VBN|LOC
When did Mount St. Helen last have a significant eruption ?|have|When did have a|WDT|DT|VBP|NUM
CNN is the abbreviation for what ?|what|is the what ?|WP|.|VBZ|ABBR
When did World War I start ?|start|When did start ?|WDT|.|VBP|NUM
How many feet are there in a fathom ?|are|How many are there|WDT|RB|VBP|NUM
What is a Canada two-penny black ?|is|What is is a|WDT|DT|VBZ|DESC
What European city do Nicois live in ?|live|What European live in|WDT|IN|VB|LOC
How can I find out what year a Beanie Baby was introduced ?|what|How can find out what year|WDT|NN|VB|DESC
What is the classic definition of tragic hero ?|is|What is is the|WDT|DT|VBZ|DESC
To what does Microsoft 's Windows 3 owe its success ?|what|To what what does|WP|VBZ|IN|ENTY
Who was President of Afghanistan in 1994 ?|was|Who was was President|WDT|NNP|VBD|HUM
What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?|are|What are are other|WDT|JJ|VBP|ENTY
What did brontosauruses eat ?|eat|What did eat ?|WDT|.|VB|ENTY
What color bottles do good Rhine wines come in ?|do|What color do good|WDT|JJ|VBP|ENTY
Who was the lead actress in the movie ` Sleepless in Seattle ' ?|was|Who was was the|WDT|DT|VBD|HUM
Who was the 16th President of the United States ?|was|Who was was the|WDT|DT|VBD|HUM
Who are the two sons of Ozzie and Harriet Nelson ?|are|Who are are the|WDT|DT|VBP|HUM
What is molybdenum ?|is|What is is molybdenum|WDT|NN|VBZ|DESC
When is Boxing Day ?|is|When is is Boxing|WDT|NNP|VBZ|NUM
What is the lowest level of the American judiciary ?|is|What is is the|WDT|DT|VBZ|ENTY
When was the battle of the Somme fought ?|fought|When was fought ?|WDT|.|VBD|NUM
How many people did Randy Craft kill ?|kill|How many kill ?|WDT|.|VB|NUM
What 's the official animal of Canada ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
When did Spielberg direct `` Jaws '' ?|direct|When did direct `|WDT|``|VB|NUM
What is the size of the largest akita ?|is|What is is the|WDT|DT|VBZ|NUM
What animal has the biggest eyes ?|has|What animal has the|WDT|DT|VBZ|ENTY
What is California 's capital ?|is|What is is California|WDT|NNP|VBZ|LOC
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?|was|Who was was the|WDT|DT|VBD|HUM
Who was the founding member of the Pink Floyd band ?|was|Who was was the|WDT|DT|VBD|HUM
What European country is home to the beer-producing city of Budweis ?|is|What European is home|WDT|NN|VBZ|LOC
How do I find the balance of my social security account ?|find|How do find the|WDT|DT|VB|DESC
What is the history of Valentine 's Day cards ?|is|What is is the|WDT|DT|VBZ|DESC
Where was Christopher Columbus born ?|born|Where was born ?|WDT|.|VBN|LOC
What do Italians call Florence ?|call|What do call Florence|WDT|NNP|VB|ENTY
How do you get to the top of the Eiffel Tower ?|get|How do get to|WDT|IN|VB|DESC
What does ` PSI ' stand for ?|stand|What does stand for|WDT|IN|NN|ABBR
What sea did the Romans call mare nostrum ?|call|What sea call mare|WDT|NN|VB|LOC
What 's the term for a bet before cards are dealt ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?|came|Which came came first|WDT|RB|VBD|ENTY
What city did the Flintstones live in ?|live|What city live in|WDT|IN|VBP|LOC
What is Latin for incompetent ?|is|What is is Latin|WDT|NNP|VBZ|ENTY
What chemicals are used in lethal injection ?|used|What chemicals used in|WDT|IN|VBN|ENTY
What toy company is the world 's No.1 maker of female apparel ?|is|What toy is the|WDT|DT|VBZ|HUM
What board game does a `` wood-pusher '' play poorly ?|play|What board play poorly|WDT|RB|VBP|ENTY
Which Doonesbury character was likely to turn into a werewolf ?|was|Which Doonesbury was likely|WDT|JJ|VBD|HUM
What is the abbreviation for micro ?|is|What is is the|WDT|DT|VBZ|ABBR
What are the 7 articles of the constitution ?|are|What are are the|WDT|DT|VBP|ENTY
Who has won the most Super Bowls ?|won|Who has won the|WDT|DT|VBN|HUM
What does NASDAQ stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
What is BPH ?|is|What is is BPH|WDT|NNP|VBZ|ABBR
What is the fastest commercial automobile that can be bought in the US ?|that|What is is the that can|WDT|MD|VBZ|ENTY
What stadium do the Miami Dolphins play their home games in ?|play|What stadium play their|WDT|PRP$|VBP|LOC
Who has the only speaking role in `` Silent Movie '' ?|has|Who has has the|WDT|DT|VBZ|HUM
Why is poop sometimes different colors ?|is|Why is is poop|WDT|NN|VBZ|DESC
What was Einstein 's IQ ?|was|What was was Einstein|WDT|NNP|VBD|NUM
What day was Pearl Harbor attacked in 1942 ?|attacked|What day attacked in|WDT|IN|VBD|NUM
What girl 's name is `` Teddy '' an affectionate form of ?|is|What girl is `|WDT|``|VBZ|HUM
What state is John F. Kennedy buried in ?|buried|What state buried in|WDT|IN|VBD|LOC
What is the best way to remove wallpaper ?|is|What is is the|WDT|DT|VBZ|ENTY
What U.S. state has an element named for it ?|has|What U.S. has an|WDT|DT|VBZ|LOC
What company tabulates the ballots in voting for the Academy Awards ?|tabulates|What company tabulates the|WDT|DT|VBZ|HUM
How did the tradition of best man start ?|start|How did start ?|WDT|.|VB|DESC
How many years ago did the ship Titanic sink ?|sink|How many sink ?|WDT|.|NN|NUM
