,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
10,what position does josé francisco torres play?,['Jose Francisco Torres'],['José_Francisco_Torres'],"['José_Francisco_Torres', 'Mexibús', 'List_of_minor_planet_discoverers', 'Francisco_Calilan']",['José_Francisco_Torres'],['José_Francisco_Torres'],['José_Francisco_Torres'],['José_Francisco_Torres'],"['José_Francisco_Torres', 'Antonio_de_Torres_Jurado']"
11,what male actor was born in  warsaw,['Warsaw'],['Warsaw'],"['Warsaw', 'Legia_Warsaw', 'University_of_Warsaw', 'Polonia_Warsaw', 'Warsaw_West_County', 'Warsaw_Uprising', 'Warsaw,_Indiana', 'Warsaw_University_of_Technology', 'Kosciusko_County,_Indiana', 'Warsaw_Ghetto_Uprising']",['Warsaw'],['Warsaw'],['Warsaw'],['Warsaw'],"['Actor', 'Warsaw']"
12,who was also born in jakarta,['Jakarta'],['Jakarta'],"['Jakarta', 'Persija_Jakarta', 'Central_Jakarta', 'South_Jakarta', 'Persija_Jakarta_(IPL)', 'North_Jakarta', 'East_Jakarta', 'West_Jakarta', 'Persitara_Jakarta_Utara', 'Aspac_Jakarta']",['Jakarta'],['Jakarta'],"['Jakarta', 'Central_Jakarta']","['Jakarta', 'Central_Jakarta']",['Jakarta']
13,Who was born in prague,['Prague'],['Prague'],"['Prague', 'SK_Slavia_Prague', 'AC_Sparta_Prague', 'Prague_Offensive', 'AC_Sparta_Prague_(women)', 'FK_Dukla_Prague', 'Dukla_Prague', 'FK_Bohemians_Prague_(Střížkov)', 'Prague-East_District', 'Charles_University']",['Prague'],['Prague'],['Prague'],['Prague'],['Prague']
14,where was guy pnini born,['Guy Pnini'],['Guy_Pnini'],['Guy_Pnini'],['Guy_Pnini'],['Guy_Pnini'],['Guy_Pnini'],['Guy_Pnini'],['Guy_Pnini']
15,Name a rock music album,['Rock music'],['Rock_music'],"['Folk_rock', 'British_folk_rock', 'Comedy_rock', 'Cambridge,_Ontario', 'Rock_&_Folk', '1960s_in_music', 'The_Company_(folk_rock_band)', 'Medieval_folk_rock', 'Billboard_charts', 'Rock_music']",['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music']
16,what is an album recorded by scott grimes,['Scott Grimes'],['Scott_Grimes'],"['Scott_Grimes', 'Edwin_Edwards', 'Drive_(Scott_Grimes_EP)', 'List_of_Scott_Pilgrim_characters', '2010_United_States_House_of_Representatives_elections_in_North_Carolina', 'List_of_recurring_The_Simpsons_characters', 'List_of_Home_and_Away_characters_(2010)', 'List_of_minor_planet_discoverers', 'Grade_(climbing)', 'List_of_Supergirl_characters']",['Scott_Grimes'],['Scott_Grimes'],['Scott_Grimes'],['Scott_Grimes'],['Scott_Grimes']
17,what was the country of origin of the tv show sidewalks entertainment,['Sidewalks Entertainment'],['Sidewalks_Entertainment'],"['Sidewalks_Entertainment', 'Hollywood_Walk_of_Fame', 'Word_Entertainment', 'Richard_R._Lee', 'Sidewalks:_Video_Nite', 'Sidewalk_astronomy', 'KCRT-TV', 'Inner_Harbor,_Syracuse', 'Seawall_Boulevard', 'Gere_Bank_Building']",['Sidewalks_Entertainment'],['Sidewalks_Entertainment'],['Sidewalks_Entertainment'],['Sidewalks_Entertainment'],['Sidewalks_Entertainment']
18,who was the architect of the structure tour perret,['Tour Perret (Amiens)'],['Tour_Perret_(Amiens)'],['Tour_Perret_(Amiens)'],['Tour_Perret_(Amiens)'],['Tour_Perret_(Amiens)'],['Tour_Perret_(Amiens)'],['Tour_Perret_(Amiens)'],"['Architect', 'Tour_Perret_(Amiens)']"
19,What is an album by guy clark?,['Guy Clark'],['Guy_Clark'],"['Guy_Clark', 'Guy_Clark_(album)', 'Best_of_Guy_Clark', 'Guy_Clark_–_Greatest_Hits', 'Guy_Clarke', 'List_of_members_of_the_AVN_Hall_of_Fame', 'D._L._Clark_Company', 'Phoenix_Iron_Works_(Phoenixville,_Pennsylvania)', 'Craftsman_(album)', 'Clark_Construction']",['Guy_Clark'],['Guy_Clark'],['Guy_Clark'],['Guy_Clark'],['Guy_Clark']
20,what's the name of an Australian rock and roll,['Rock and roll'],['Rock_and_roll'],"['Rock_music', 'Alternative_rock', 'Pop_rock', 'Hard_rock', 'Indie_rock', 'Punk_rock', 'New_wave_music', 'Folk_rock', 'Soul_music', 'Rock_and_roll']",['Rock_and_roll'],['Rock_and_roll'],['Rock_and_roll'],['Rock_and_roll'],"['Australians', 'Rock_music']"
21,what is the category of the celestial object 1241 dysona,['1241 Dysona'],['1241_Dysona'],"['1241_Dysona', 'Waipahu_High_School']",['1241_Dysona'],['1241_Dysona'],['1241_Dysona'],['1241_Dysona'],"['Astronomical_object', '1241_Dysona']"
22,What is a type of gameplay available to gamers playing custom robo v2,['Custom Robo V2'],['Custom_Robo_V2'],['Custom_Robo_V2'],['Custom_Robo_V2'],['Custom_Robo_V2'],['Custom_Robo_V2'],['Custom_Robo_V2'],"['Roundabout_family', 'V-2_rocket']"
23,where was shigeyasu suzuki's place of birth,['Shigeyasu Suzuki'],['Shigeyasu_Suzuki'],"['Shigeyasu_Suzuki', 'Yasuaki_Aida', 'Shigeharu_Suzuki']",['Shigeyasu_Suzuki'],['Shigeyasu_Suzuki'],['Shigeyasu_Suzuki'],['Shigeyasu_Suzuki'],['Shigeyasu_Suzuki']
24,which indian city was fazil born in,['Fazil (director)'],['Fazil_(director)'],"['Fazil_(director)', 'Gokula_Krishnan', 'Farhaan_Faasil', 'Rajan_Sankaradi', 'Fabio_Frizzi', 'No._1_Snehatheeram_Bangalore_North', 'Manivathoorile_Aayiram_Sivarathrikal', 'Manichitrathazhu', 'Ramji_Rao_Speaking', 'Dileesh_Pothan']",['Fazil_(director)'],['Fazil_(director)'],['Fazil_(director)'],['Fazil_(director)'],"['Indian_City', 'Fazil_(director)']"
25,where was paolo de la haza born?,['Paolo de la Haza'],['Paolo_de_la_Haza'],"['Paolo_de_la_Haza', 'List_of_minor_planets:_9001–10000', 'Pandanus_tectorius', 'Rock_Story']",['Paolo_de_la_Haza'],['Paolo_de_la_Haza'],['Paolo_de_la_Haza'],['Paolo_de_la_Haza'],['Paolo_de_la_Haza']
26,Which film was directed by ian iqbal rashid,['Ian Iqbal Rashid'],['Ian_Iqbal_Rashid'],"['Ian_Iqbal_Rashid', 'Touch_of_Pink', 'How_She_Move', 'TSAR_Publications']",['Ian_Iqbal_Rashid'],['Ian_Iqbal_Rashid'],['Ian_Iqbal_Rashid'],['Ian_Iqbal_Rashid'],[]
27,who recorded rca records,['RCA Records'],['RCA_Records'],"['RCA_Records', 'RCA_Records_Nashville', 'Bluebird_Records', 'RCA_Red_Seal_Records', 'Ariola_Records', 'RCA_Camden', 'RCA/Jive_Label_Group', 'Columbia_Records', 'JVC', 'RCA_Victrola']",['RCA_Records'],['RCA_Records'],['RCA_Records'],['RCA_Records'],['RCA_Records']
28,What is a gampelay mode found in the game allegiance,['Allegiance (video game)'],['Allegiance_(video_game)'],"['Allegiance_(video_game)', 'List_of_Stargate_games', 'Transformers:_Human_Alliance_(video_game)', 'Strategy_First', ""Baldur's_Gate_(series)"", 'Halo_(franchise)', 'Police_Quest:_SWAT_2', 'Covenant_(Halo)', 'Warcraft_III:_Reign_of_Chaos', 'Mortal_Kombat:_Deception']",['Allegiance_(video_game)'],['Allegiance_(video_game)'],['Allegiance_(video_game)'],['Allegiance_(video_game)'],[]
29,Which films has leonid gaidai written,['Leonid Gaidai'],['Leonid_Gaidai'],"['Leonid_Gaidai', 'Aleksandr_Zatsepin', 'Nina_Grebeshkova', 'Weather_Is_Good_on_Deribasovskaya,_It_Rains_Again_on_Brighton_Beach', 'A_Groom_from_the_Other_World', 'Ivan_Vasilievich:_Back_to_the_Future', 'Bootleggers_(1961_film)', 'The_Diamond_Arm', 'A_Weary_Road', ""Operation_Y_and_Shurik's_Other_Adventures""]",['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai']
30,What is shinji mori's gender?,['Shinji Mori'],['Shinji_Mori'],"['Shinji_Morisue', 'Shinji_Mori', 'Shinji_Morita', 'List_of_minor_planets:_16001–17000', 'The_Elder_Scrolls', 'Inuyasha', 'Shinji_Mizushima', 'Mini-Moni_the_Movie:_Okashi_na_Daibōken!', 'Fishmans', 'Shinji_Shumeikai']",['Shinji_Mori'],['Shinji_Mori'],['Shinji_Mori'],['Shinji_Mori'],"['Shinji_Mori', 'Gender']"
31,what style of msuic did john pizzarelli play,['John Pizzarelli'],['John_Pizzarelli'],"['John_Pizzarelli', 'Generations_(Bucky_Pizzarelli_and_John_Pizzarelli_album)', 'Contrasts_(Bucky_Pizzarelli_and_John_Pizzarelli_album)', 'The_Best_of_Bucky_and_John_Pizzarelli', 'Let_There_Be_Love_(John_Pizzarelli_album)', 'All_of_Me_(John_Pizzarelli_album)', 'Naturally_(John_Pizzarelli_album)', 'Live_at_Birdland_(John_Pizzarelli_album)', 'After_Hours_(John_Pizzarelli_album)', 'Twogether_(Bucky_Pizzarelli_and_John_Pizzarelli_album)']",['John_Pizzarelli'],['John_Pizzarelli'],['John_Pizzarelli'],['John_Pizzarelli'],['John_Pizzarelli']
32,what is trond egil soltvedt's birth place,['Trond Egil Soltvedt'],['Trond_Egil_Soltvedt'],"['Trond_Egil_Soltvedt', 'IL_Kvernbit']",['Trond_Egil_Soltvedt'],['Trond_Egil_Soltvedt'],['Trond_Egil_Soltvedt'],['Trond_Egil_Soltvedt'],['Ongentheow']
33,what series is super mario bros. 2 a part of,['Super Mario Bros. 2'],['Super_Mario_Bros._2'],"['Super_Mario_Bros._2', 'List_of_Mario_television_episodes', 'Super_Mario_Bros.', 'List_of_Mario_franchise_characters', 'New_Super_Mario_Bros._2', 'Super_Mario_World', 'Nintendo_Entertainment_System', 'List_of_LCD_games_featuring_Mario', 'Super_Mario_Bros.:_The_Lost_Levels', 'Paper_Mario']",['Super_Mario_Bros._2'],['Super_Mario_Bros._2'],"['Super_Mario_Bros._2', 'Super_Mario_Bros.']","['Super_Mario_Bros._2', 'Super_Mario_Bros.']",['Mario']
34,what disease did anthony perkins die of,['Anthony Perkins'],['Anthony_Perkins'],"['Anthony_Perkins', 'Tony_Perkins_(politician)', 'Kansas_City_Royals_minor_league_players', 'Anthony_Peraino', 'Anthony_Perkins_(disambiguation)', 'List_of_Survivor_(American_TV_series)_contestants', 'The_Black_Hole', 'Berry_Berenson', 'Psycho_(1960_film)', 'Tony_Perkins_(news_anchor)']",['Anthony_Perkins'],['Anthony_Perkins'],['Anthony_Perkins'],['Anthony_Perkins'],['Anthony_Perkins']
35,what is the mouth of the schuylkill river,['Schuylkill River'],['Schuylkill_River'],"['Schuylkill_River', 'Schuylkill_River_Trail', 'Schuylkill_River_Bridge', 'Antietam_Creek_(Schuylkill_River_tributary)', 'French_Creek_(Schuylkill_River_tributary)', 'Philadelphia_and_Reading_Railroad,_Schuylkill_River_Viaduct', 'Hay_Creek_(Schuylkill_River_tributary)', 'Monocacy_Creek_(Schuylkill_River_tributary)', 'Schuylkill_River_National_and_State_Heritage_Area', 'Indian_Run_(Little_Schuylkill_River_tributary)']",['Schuylkill_River'],['Schuylkill_River'],['Schuylkill_River'],['Schuylkill_River'],['Schuylkill_River']
36,Which genre of book is bin laden: the man who declared war on america?,['Bin Laden: The Man Who Declared War on America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Bin_Laden:_The_Man_Who_Declared_War_on_America'],['Osama_bin_Laden']
37,Name a model that died due to a car accident,['Traffic collision'],['Traffic_collision'],"['Traffic_collision', 'List_of_traffic_collisions_(2000–present)', 'Traffic_collision_reconstruction', 'Traffic_collision_avoidance_system', '2002_Überlingen_mid-air_collision', 'List_of_people_who_died_in_traffic_collisions', 'Traffic_accidents_in_India', 'Hit_and_run', 'Roadkill', 'Traffic_light_coalition']",['Traffic_collision'],['Traffic_collision'],['Traffic_collision'],['Traffic_collision'],[]
38,which position does brian dowling play in football,['Brian Dowling (American football)'],['Brian_Dowling_(American_football)'],['Brian_Dowling_(American_football)'],['Brian_Dowling_(American_football)'],['Brian_Dowling_(American_football)'],['Brian_Dowling_(American_football)'],['Brian_Dowling_(American_football)'],"['Brian_Dowling_(presenter)', 'Association_football']"
39,who was born in catania,['Catania'],['Catania'],"['Calcio_Catania', 'Catania', 'University_of_Catania', 'U.S.D._Atletico_Catania', 'Province_of_Catania', 'Roman_Catholic_Archdiocese_of_Catania', 'Catania–Fontanarossa_Airport', 'Campania', 'Catania_Metro', 'David_Catania']",['Catania'],['Catania'],['Catania'],['Catania'],['Catania']
40,What is the profession of julio medem?,['Julio Medem'],['Julio_Medem'],"['Julio_Medem', 'Mission:_Impossible_(film_series)', 'Julia_Meade', 'Sex_and_Lucia', 'Alberto_Iglesias', 'Nancho_Novo', 'Ma_Ma_(2015_film)', '7_Days_in_Havana', 'Earth_(1996_film)', 'The_Tree_of_Blood']",['Julio_Medem'],['Julio_Medem'],['Julio_Medem'],['Julio_Medem'],['Julio_Medem']
41,where was walter müller born,['Walter Muller (actor)'],['Walter_Müller_(actor)'],"['Walter_Müller_(actor)', 'The_X-Files:_I_Want_to_Believe', 'Walter_Skinner', 'Chris_Walker_(actor)']",['Walter_Müller_(actor)'],['Walter_Müller_(actor)'],['Walter_Müller_(actor)'],['Walter_Müller_(actor)'],['Walter_Müller_(actor)']
42,who published the video game fable (video game),['Fable (video game)'],['Fable_(video_game)'],"['Fable_(disambiguation)', 'Fable_(2004_video_game)', 'Fable_(video_game_series)', 'Fable_II_Pub_Games', 'Fable_(1996_video_game)', 'The_Wolf_Among_Us', 'Doogtoons', 'Vega_(Street_Fighter)', 'Peter_Molyneux', 'Reflexive_Entertainment']","['Fable_(2004_video_game)', 'Fable_(video_game_series)', 'Fable_(1996_video_game)']",['Fable_(2004_video_game)'],['Fable_(2004_video_game)'],['Fable_(2004_video_game)'],['Video_game']
43,which film is classified as a silent film,['Silent film'],['Silent_film'],"['Silent_film', 'Intertitle', 'William_Russell_(American_actor)', 'Harrison_Ford_(silent_film_actor)', 'Silent_Hill_(film)', 'Sterling_Pictures', 'A_Silent_Film', 'Billy_West_(silent_film_actor)', 'Paul_Powell_(director)', 'Richard_Smith_(silent_film_director)']",['Silent_film'],['Silent_film'],['Silent_film'],"['Silent_film', 'A_Silent_Film']",['Silent_film']
44,jack warner produced what american film?,['Jack L. Warner'],['Jack_L._Warner'],"['Jack_L._Warner', 'Jack_Warner_(football_executive)', 'Jack_Nicholson', 'List_of_minor_planet_discoverers', 'List_of_All_My_Children_characters', 'List_of_Coronation_Street_characters_(2015)', 'List_of_unreleased_Warner_Bros._animated_shorts', 'Scouting_in_Alabama', 'List_of_Survivor_(American_TV_series)_contestants', 'Elektra_Records']",['Jack_L._Warner'],['Jack_L._Warner'],['Jack_L._Warner'],['Jack_L._Warner'],['Jack_L._Warner']
45,What is the name of an album by superdrag,['Superdrag'],['Superdrag'],"['Superdrag', 'The_Fabulous_8-Track_Sound_of_Superdrag', 'Sheffield_Supertram', 'Superdry', 'Krypto_the_Superdog', 'MLS_SuperDraft', 'Superdragon', 'Superfrog', 'Super_magnum', '2007_MLS_SuperDraft']",['Superdrag'],['Superdrag'],['Superdrag'],"['Superdrag', 'The_Fabulous_8-Track_Sound_of_Superdrag']",['Superdrag']
46,What genre is the island of disco ensemble,['The Island of Disco Ensemble'],['The_Island_of_Disco_Ensemble'],['The_Island_of_Disco_Ensemble'],['The_Island_of_Disco_Ensemble'],['The_Island_of_Disco_Ensemble'],['The_Island_of_Disco_Ensemble'],['The_Island_of_Disco_Ensemble'],['Disco_Ensemble']
47,what artist is signed with warner music group,['Warner Music Group'],['Warner_Music_Group'],"['Warner_Music_Group', 'WarnerMedia', 'List_of_Warner_Music_Group_labels', 'List_of_Warner_Music_Group_artists', 'Atlantic_Records', 'Universal_Music_Group', 'Only_Hits_(compilation_album)', 'Elektra_Records', 'Interscope_Records', 'Sire_Records']",['Warner_Music_Group'],['Warner_Music_Group'],['Warner_Music_Group'],['Warner_Music_Group'],['Warner_Music_Group']
48,which country is mark kramer from,['Mark Kramer (jazz pianist)'],['Mark_Kramer_(jazz_pianist)'],['Mark_Kramer_(jazz_pianist)'],['Mark_Kramer_(jazz_pianist)'],['Mark_Kramer_(jazz_pianist)'],['Mark_Kramer_(jazz_pianist)'],['Mark_Kramer_(jazz_pianist)'],['Kramer_(musician)']
49,What is fred hawkins's gender?,['Fred Hawkins'],['Fred_Hawkins'],"['Fred_Figglehorn', 'Haskins_Award', 'Fred_Hawkins', 'List_of_Outlaw_Star_characters', 'List_of_Grange_Hill_characters', 'List_of_minor_planets:_7001–8000', 'Frederick_Hawkins', 'August_Strindberg_Repertory_Theatre', 'Fred_Hawking', 'Frederick_Hawkins_(cricketer)']",['Fred_Hawkins'],['Fred_Hawkins'],['Fred_Hawkins'],['Fred_Hawkins'],"['Fred_Hawkins', 'Gender']"
50,What sort of music is soundwave 2010,['Soundwave 2010'],['Soundwave_2010'],"['Soundwave_2010', 'Frank_Welker', 'Carpathian_(band)', 'Soundwave_(Music_Discovery)', 'Taking_Back_Sunday_(album)', 'Bassendean_Oval', 'Revenge_of_the_Dreamers_II', ""Stealing_O'Neal"", 'I_Call_Fives', 'Overly_Dedicated']",['Soundwave_2010'],['Soundwave_2010'],['Soundwave_2010'],['Soundwave_2010'],['Soundwave_2010']
51,is a song for summer a romance novel or drama,['A Song for Summer'],['A_Song_for_Summer'],"['Frank_Ocean', 'Cruel_Summer_(song)', 'Summer_Cem', 'World_of_A_Song_of_Ice_and_Fire', 'The_Boys_of_Summer_(song)', 'Over_It_(album)', 'Hot_Summer_(song)', 'Heartbreak_on_a_Full_Moon', 'Calm_(album)', 'On_the_Radio_(Donna_Summer_song)']","['The_Boys_of_Summer_(song)', 'Hot_Summer_(song)']",[],['The_Boys_of_Summer_(song)'],['The_Boys_of_Summer_(song)'],"['Summer', 'Romance_film', 'Drama']"
52,what is the sex of jordon dizon,['Jordon Dizon'],['Jordon_Dizon'],"['Jordon_Dizon', 'List_of_As_the_World_Turns_characters', 'The_Real_Housewives_of_Potomac', 'Dium_(Coele-Syria)', 'Dion_Jordan', 'Jolyon_Dixon', 'Curt_Dizon', 'The_Inevitable_Defeat_of_Mister_&_Pete', 'Moab', 'Emanuel_Kiriakou']",['Jordon_Dizon'],['Jordon_Dizon'],['Jordon_Dizon'],['Jordon_Dizon'],['Jordon_Dizon']
53,what album is by jethro tull (band)?,['Jethro Tull (band)'],['Jethro_Tull_(band)'],"['Jethro_Tull_(band)', 'Ian_Anderson', 'Mostly_Autumn', 'Martin_Barre', 'Mick_Abrahams', 'Toe_Fat', 'Morgan_Studios', 'Band_of_Joy', 'Crest_of_a_Knave', 'David_Goodier']",['Jethro_Tull_(band)'],['Jethro_Tull_(band)'],['Jethro_Tull_(band)'],['Jethro_Tull_(band)'],['Jethro_Tull_(band)']
54,what is an example of a role-playing video game,['Role-playing video game'],['Role-playing_video_game'],"['Role-playing_video_game', 'Action_role-playing_game', 'List_of_role-playing_video_games', 'History_of_Eastern_role-playing_video_games', 'Glossary_of_video_game_terms', 'Dungeon_crawl', 'Gaming_convention', 'List_of_tactical_role-playing_video_games:_2010_to_2019', 'Game_balance', 'Tales_(video_game_series)']",['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game']
55,what war was thomas whitham in,['Thomas Whitham'],['Thomas_Whitham'],"['Thomas_Whitham', 'Thomas_Whitham_Sixth_Form', 'Thomas_Whetham', '2005_term_per_curiam_opinions_of_the_Supreme_Court_of_the_United_States', 'New_Jersey_Turnpike', 'Donald_DiFrancesco', 'Nathan_Barley', 'Jack_Cooper_(American_musician)', 'Those_Magnificent_Men_in_their_Flying_Machines', 'Kong:_Skull_Island']",['Thomas_Whitham'],['Thomas_Whitham'],['Thomas_Whitham'],['Thomas_Whitham'],['Thomas_Whitham']
56,what is the name of a work done by  gary paulsen,['Gary Paulsen'],['Gary_Paulsen'],"['Gary_Paulsen', 'Captive!', 'The_River_(Paulsen_novel)', 'Murphy_(novella)', ""Soldier's_Heart_(Paulsen_novel)"", 'The_Transall_Saga', 'List_of_The_4400_characters', 'Hatchet_(novel)', 'Escape_from_Fire_Mountain', 'Danger_on_Midnight_River']",['Gary_Paulsen'],['Gary_Paulsen'],['Gary_Paulsen'],['Gary_Paulsen'],['Gary_Paulsen']
57,What gender is werner m. moser?,['Werner M. Moser'],['Werner_M._Moser'],"['Hans-Werner_Moser', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(M)"", 'Werner_M._Moser', 'Werner_Moser', 'Melinda_Wenner_Moyer', 'Polwechsel', 'Hannerl_and_Her_Lovers_(1936_film)', 'Karl_Moser', 'Gomberg–Bachmann_reaction', 'Werner_van_der_Zyl']",['Werner_M._Moser'],['Werner_M._Moser'],['Werner_Moser'],"['Hans-Werner_Moser', 'Werner_Moser']","['Gender', 'Mesirah']"
58,Who wrote the film goltzius and the pelican company,['Goltzius and the Pelican Company'],['Goltzius_and_the_Pelican_Company'],"['Goltzius_and_the_Pelican_Company', 'Goran_Bogdan', 'Nightwatching']",['Goltzius_and_the_Pelican_Company'],['Goltzius_and_the_Pelican_Company'],['Goltzius_and_the_Pelican_Company'],['Goltzius_and_the_Pelican_Company'],[]
59,what production company was involved in smokin' aces 2: assasins' ball,"[""Smokin' Aces 2: Assassins' Ball""]","[""Smokin'_Aces_2:_Assassins'_Ball""]","[""Smokin'_Aces_2:_Assassins'_Ball"", 'Christopher_Michael_Holley']","[""Smokin'_Aces_2:_Assassins'_Ball""]","[""Smokin'_Aces_2:_Assassins'_Ball""]","[""Smokin'_Aces_2:_Assassins'_Ball""]","[""Smokin'_Aces_2:_Assassins'_Ball""]","[""Smokin'_Aces""]"
60,what does carol kicinski do for her profession,['Carol Kicinski'],['Carol_Kicinski'],"['Carol_Kicinski', 'Black_Killer']",['Carol_Kicinski'],['Carol_Kicinski'],"['Carol_Kicinski', 'Black_Killer']","['Carol_Kicinski', 'Black_Killer']",['Carol_Kicinski']
61,where did hans dally die?,['Hans Dally'],['Hans_Dally'],"[""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(D)"", 'The_Daily_Nebraskan', 'Crime_Watch_Daily', 'List_of_Minder_episodes', 'Hans_Zimmer', 'List_of_The_Pink_Panther_cartoons', 'Norberto_Bobbio', 'List_of_Walt_Disney_Animation_Studios_short_films', 'Botanischer_Garten_Universität_Rostock', 'The_Hans_India']",['Hans_Zimmer'],['Hans_Zimmer'],['Hans_Zimmer'],['Hans_Zimmer'],[]
