,question,entities,MuHeQA_FLERT
77,Who wrote the film goltzius and the pelican company,['Goltzius and the Pelican Company'],['goltzius and the pelican company']
78,Who is a known football player that plays forward,['forward'],['football player']
79,what production company was involved in smokin' aces 2: assasins' ball,"[""Smokin' Aces 2: Assassins' Ball""]","[""aces 2 : assasins' ball""]"
80,what language is spoken in the medic,['The Medic'],"['language', 'medic']"
81,what does carol kicinski do for her profession,['Carol Kicinski'],['carol kicinski']
82,where did hans dally die?,['Hans Dally'],['hans dally']
83,of what nationality is ken mcgoogan,['Ken McGoogan'],['ken mcgoogan']
84,what sort of film is combat report,['Combat Report'],"['film', 'combat report']"
85,What company published the game tenchu: wrath of heaven,['Tenchu: Wrath of Heaven'],['tenchu : wrath of heaven']
86,what illness did michael visaroff die from ,['Michael Visaroff'],['michael visaroff']
87,what label is ace of base signed to,['Ace of Base'],"['label', 'base']"
88,who edited the film cleopatra?,['Cleopatra'],['film cleopatra']
89,is 2464 nordenskiöld a meteor or an asteroid,['2464 Nordenskiöld'],"['2464 nordenskiold', 'meteor or', 'asteroid']"
90,what country released the film  cube,['Cube'],"['country', 'film cube']"
91,what style of architecture is villa deste,"[""Villa d'Este""]",['architecture']
92,what is 6864 starkenburg,['6864 Starkenburg'],['6864 starkenburg']
93,Where does the santa ana river end,['Santa Ana River'],['santa ana river end']
94,Who did the music for the film carry on cruising,['Carry On Cruising'],"['film', 'cruising']"
95,What is enno lerian 's gender,['Enno Lerian'],['lerian']
96,Who directed woody meets davy crewcut,['Woody Meets Davy Crewcut'],"['woody', 'davy crewcut']"
97,Name an album by bill wyman.,['Bill Wyman'],['bill wyman']
98,Is jiřina bohdalová female or male?,['Jiřina Bohdalová'],['jiřina bohdalová']
99,Name an action film.,['action film'],['action film']
100,what type of construction does cornwall bridge have,['Cornwall Bridge'],"['construction', 'cornwall']"
101,what is aleksei kravchenko's origin?,['Aleksei Kravchenko'],['aleksei kravchenko']
102,what language was the act of killing in?,['The Act of Killing'],['language']
103,which type of film is the bitter tea of general yen released in?,['The Bitter Tea of General Yen'],"['film', 'general yen']"
104,Who is an artist signed to warner bros. records,['Warner Bros. Records'],"['artist', 'warner bros. records']"
105,who is a person with politician as a profession,['politician'],['profession']
106,Name a drama film.,['drama film'],['drama film']
107,is rob renes a male or female ,['Rob Renes'],['rob renes']
108,What kind of music is the album farewell aldebaran,['Farewell Aldebaran'],"['music', 'album farewell']"
109,Who directed the film the congress,['The Congress'],"['film', 'congress']"
110,what is an adaptation of la bohème called ,['La bohème'],['la boheme']
111,What is the name of a folk rock album?,['folk rock'],['folk rock album']
112,who wrote the music for kiss kiss,['Kiss Kiss'],['kiss kiss']
113,where is the priests wife set,"[""The Priest's Wife""]",['priests wife']
114,which series is skyclans destiny a part of ,"[""SkyClan's Destiny""]",['skyclans destiny']
115,which film did ryuichi sakamoto create the music for ,['Ryuichi Sakamoto'],['ryuichi sakamoto']
116,what novelist was born in chicago?,['Chicago'],['chicago']
117,who is paul reubens's father,['Paul Reubens'],['paul reubens']
118,Who directed the the tourist film?,['The Tourist'],['tourist film']
119,what is the name of an artist with epitaph records,['Epitaph Records'],['epitaph records']
120,what genre of film is princess caraboo,['Princess Caraboo'],['princess caraboo']
121,"who wrote \\""w\\"" is for wasted ","['""W"" Is for Wasted']",[]
122,what category of celestial objects does kappa draconis belong to,['Kappa Draconis'],['celestial objects']
123,which program was created by amy sherman-palladino,['Amy Sherman-Palladino'],['amy sherman-palladino']
124,Who is actor who was born in berlin?,['Berlin'],['berlin']
125,What's a gameplay mode in sacred,['Sacred'],[]
126,Who directed the film darling lili,['Darling Lili'],['film darling lili']
127,what city and state was c. jack ellis born in,['C. Jack Ellis'],['c. jack ellis']
128,Which country can claim that they created the stolen treaty,['The Stolen Treaty'],"['country', 'treaty']"
129,What is johnny russell's nationality?,['Johnny Russell'],['johnny russell']
130,what country did needful things take place in,['Needful Things'],"['country', 'needful things']"
131,who created the story for godzilla (1998 film),['Godzilla'],['godzilla']
132,where did vic frazier die?,['Vic Frazier'],['frazier']
133,where was sjafruddin prawiranegara born,['Sjafruddin Prawiranegara'],['sjafruddin prawiranegara']
134,Which instrument did grete sultan play?,['Grete Sultan'],"['instrument', 'grete sultan']"
135,Who wrote the book strega,['Strega'],['book strega']
136,what is georgia gibbs's country of nationality?,['Georgia Gibbs'],['georgia gibbs']
137,what is cassiesteele's gender?,['Cassie Steele'],['cassiesteele']
138,The film abduction  was edited by whom? ,['Abduction'],['film abduction']
139,What's a movie where stuart ford was the executive producer,['Stuart Ford'],['stuart ford']
140,What is Roger Molliens gender?,['Roger Mollien'],['Roger Molliens']
141,what is the genre of bernthøler?,['Bernthøler'],['berntholer']
142,Which basin country is hinze dam located in,['Hinze Dam'],"['basin country', 'hinze dam']"
143,where was hank cochran birthed,['Hank Cochran'],['hank cochran']
144,what is the gender of eberhard kinzel?,['Eberhard Kinzel'],['eberhard kinzel']
145,What film was produced by monogram pictures?,['Monogram Pictures'],"['film', 'monogram pictures']"
146,leo bertos was born in what country?,['Leo Bertos'],['leo bertos']
147,Which language is the film grindhouse in,['Grindhouse'],['language']
148,which country is on my way from,['On My Way'],['country']
149,what gender is hawkman?,['Hawkman'],['hawkman']
150,What gender is laura kirkpatrick,['Laura Kirkpatrick'],['laura kirkpatrick']
151,What language does Sanjog Se Bani Sangini speak?,['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini']
152,What gameplay options are available for the game growlanser iv: wayfarer of the time,['Growlanser Wayfarer of Time'],['growlanser iv : wayfarer of the time']
153,what kind of game is super monkey ball: banana blitz,['Super Monkey Ball: Banana Blitz'],['super monkey ball']
154,who wrote the film the inner circle,['The Inner Circle'],"['film', 'inner circle']"
155,where is the birthplace of rob margolies,['Rob Margolies'],['rob margolies']
156,name a piano player.,['piano'],['piano player']
157,what is the name of an episode of life on a stick,['Life on a Stick'],['stick']
158,what language is used in harbour drift,['Beyond the Street'],"['language', 'harbour drift']"
159,eva isaksen is a national of which state?,['Eva Isaksen'],['eva isaksen']
160,who is the videogame developer of roc'n rope,"[""Roc 'N Rope""]","[""roc'n rope""]"
161,what was joseph-ferdinand daniel's place of death,['Joseph-Ferdinand Daniel'],['joseph-ferdinand daniel']
162,who directed the film drums of tahiti,['Drums of Tahiti'],['drums of tahiti']
163,Where is philippe delorme from?,['Philippe Delorme'],['philippe delorme']
164,what type of celestial object is (101180) 1998 sh9,['(101180) 1998 SH9'],"['celestial object', '101180', '1998 sh9']"
165,where was gail harris born?,['Gail Harris'],['gail harris']
166,Is anatoliy matkevych male or female?,['Anatoliy Matkevych'],['anatoliy matkevych male or female']
167,what position does bernie graham play,['Bernie Graham'],['bernie graham']
168,what nation is harry werner storz originally from,['Harry Werner Storz'],['harry werner storz']
169,What nation is jerry wald from?,['Jerry Wald'],['jerry wald']
170,which genre does the title ancient evil: scream of the mummy fall under,['Ancient Evil: Scream of the Mummy'],['ancient evil : scream of the mummy fall']
171,who developed the computer videogame empire earth,['Empire Earth'],['computer videogame empire earth']
172,"what county is  east peoria, illinois in ",['East Peoria'],"['illinois', 'east peoria']"
173,who's a kung fu star from hong kong,['Hong Kong'],['hong kong']
174,What's a gameplay mode in silhouette mirage,['Silhouette Mirage'],['silhouette mirage']
175,which european nation is days and clouds filmed in?,['Days and Clouds'],['european nation']
176,Which canadian city was william southam born in,['William Southam'],"['canadian city', 'william southam']"
177,What is the nationality of vladimir baksheyev?,['Vladimir Baksheyev'],['vladimir baksheyev']
178,what is the gender of paul phoenix,['Paul Phoenix'],['paul phoenix']
179,which position does ray lewis play,['Ray Lewis'],['ray lewis']
180,what language is pati parmeshwar in ,['Pati Parmeshwar'],['language']
181,What genre of music is dj nelson?,['Nelson Díaz Martinez'],"['music', 'dj nelson']"
182,What is the name of the crater on the moon named for georg ohm?,['Georg Simon Ohm'],['georg ohm']
183,what's a eurodance by ian van dahl,['Eurodance'],"['a eurodance', 'ian van dahl']"
184,where was harvey lowe given birth,['Harvey Lowe'],['harvey lowe']
185,Who was the developer of lego creator: knights kingdom?,"[""Lego Creator: Knights' Kingdom""]","['lego creator', 'knights kingdom']"
186,What first level division is in the Dominican Republic?,['Dominican Republic'],['Dominican Republic']
187,which english novelist wrote the work payment deferred?,['Payment Deferred'],['english novelist']
188,What is alain sutter position,['Alain Sutter'],['alain sutter position']
189,what language is road house in?,['Road House'],['language']
190,Which position in football did lee ho-jin play,['Lee Ho-jin'],['lee ho-jin']
191,what city did georg baselt die in,['Georg Baselt'],['georg baselt']
192,what does henry nielsen do,['Henry Nielsen'],['henry nielsen']
193,Who composed the music for the salamander?,['The Salamander'],['salamander']
194,who discovered 5551 glikson,['5551 Glikson'],['5551 glikson']
195,what is dave henderson ethnicity?,['Dave Henderson'],['dave henderson ethnicity']
196,birth of a golem is a film directed by what notable director,['Birth of a Golem'],['birth of a golem']
197,which city did carl-alfred schumacher die,['Carl-Alfred Schumacher'],['carl-alfred schumacher']
198,which city was ezekiel f. chambers born ,['Ezekiel F. Chambers'],['ezekiel f. chambers']
199,how is magnant played ,['Magnant'],['magnant']
200,which genre does chungking express belong to,['Chungking Express'],"['genre', 'express']"
201,which city was gail davis born,['Gail Davis'],['gail davis']
202,what style of music is the best of the stylistics released in?,['The Best of The Stylistics'],"['music', 'stylistics']"
203,who was a famous person born in gwalior,['Gwalior'],['gwalior']
204,what gender is the woman carolin fink,['Carolin Fink'],['woman carolin fink']
205,What is thomas Östros' profession?,['Thomas Östros'],"[""thomas Östros'""]"
206,what country is porsuk river in,['Porsuk River'],['porsuk river']
207,What is an example of a single-player video game,['single-player video game'],['single-player video game']
208,what kind of music is christy carlson romano,['Christy Carlson Romano'],['christy carlson romano']
209,Who wrote the case of the toxic spell dump,['The Case of the Toxic Spell Dump'],['toxic spell dump']
210,What is an album by phil manzanera?,['Phil Manzanera'],['phil manzanera']
211,"Where was john f. mulholland, jr. born?","['John F. Mulholland, Jr.']",['john f. mulholland']
212,what asteroid group is 43706 iphiklos part of ,['43706 Iphiklos'],['asteroid group']
213,What language is used for the movie the last good time,['The Last Good Time'],"['language', 'movie', 'last good time']"
214,who directed the spanish gypsy,['The Spanish Gypsy'],['spanish gypsy']
215,what country is plötzensee located in,['Plötzensee'],"['country', 'plotzensee']"
216,where did prince arthur of connaught die ,['Prince Arthur of Connaught'],['arthur of connaught']
217,where in england was rik mayall's place of birth?,['Rik Mayall'],"['england', 'rik mayall']"
218,Who is the famous father of jack carter,['Jack Carter'],['jack carter']
219,which band made on earth to make the numbers up,['On Earth to Make the Numbers Up'],"['band', 'earth', 'numbers']"
220,what is the nationality of louise latimer?,['Louise Latimer'],['louise latimer']
221,where was harold gore's birthplace,['Harold Gore'],['harold gore']
222,which country was magic man made for,['Magic Man'],"['country', 'magic man']"
223,who directed michael jackson: number ones ,['Number Ones'],['michael jackson']
224,what is the country from which james c. dobbin nationality is derived,['James C. Dobbin'],['james c. dobbin nationality']
225,Who is the artist of the album early music?,['Early Music'],['album early music']
226,Who produced the ladykillers?,['The Ladykillers'],['ladykillers']
227,Is ricardo delgado male of female,['Ricardo Delgado'],['ricardo delgado']
228,Which movie did a time to love and a time to die direct?,['A Time to Love and a Time to Die'],"['movie', 'time', 'and time']"
229,what is constantinos mina gender,['Constantinos Mina'],['constantinos mina']
230,what killed tom held,['Tom Held'],['tom']
231,Who is the artist off the album battle for the sun,['Battle for the Sun'],['sun']
232,Where was pierre samuel du pont de nemours' place of birth?,['Pierre Samuel du Pont de Nemours'],"[""pont de nemours'"", 'pierre samuel']"
233,What kind of music is dirty work,['Dirty Work'],"['music', 'dirty work']"
234,where did archie maclaren pass away,['Archie MacLaren'],['archie maclaren']
235,Where was yuriy furta birthed,['Yuriy Furta'],['yuriy furta']
236,Which Italian music composer was born in gaeta?,['Gaeta'],"['Italian', 'gaeta']"
237,What position does karsten smith play,['Karsten Smith'],['karsten smith']
238,What is ville vänni's gender,['Ville Vänni'],['ville vänni']
239,what is the name of a single-player game,['single-player video game'],['single-player game']
240,what country released gintama: the movie,['Gintama: The Movie'],['gintama']
241,what is the genre of the film kalyug,['Kalyug'],['film kalyug']
242,who is the artist on the album say it like you mean it,['Say It Like You Mean It'],['album']
243,What italian writer is credited on the church?,['The Church'],['italian writer']
244,what game is a platform game?,['platform game'],"['game', 'platform game']"
245,what's a second level division in brazil,['Brazil'],['brazil']
246,which country contains valencian community,['Land of Valencia'],['valencian community']
247,what country does mike altieri represent,['Mike Altieri'],['mike altieri']
248,what is the netflix genre of the film  three came home,['Three Came Home'],['three came home']
249,What country is yvonne ryding from?,['Yvonne Ryding'],['yvonne ryding']
250,Who is the lyricist behind the composition supercalifragilisticexpialidocious?,['Supercalifragilisticexpialidocious'],['composition supercalifragilisticexpialidocious']
251,Where in europe was barbara hicks born,['Barbara Hicks'],"['barbara hicks', 'europe']"
252,where did tillie k. fowler die?,['Tillie K. Fowler'],['tillie k. fowler']
253,who is an Italian midfielder?,['midfielder'],['Italian']
254,Where was christoph grimm born?,['Christoph Grimm'],['christoph grimm']
255,which position is anthony barry known for,['Anthony Barry'],['anthony barry']
256,What gender is otto nagel,['Otto Nagel'],['otto nagel']
257,which guitarist is represented by columbia records?,['Columbia Records'],['columbia records']
258,What country does the ellice river run through,['Ellice River'],"['country', 'ellice river']"
259,what position does horst heldt play ,['Horst Heldt'],['horst heldt']
260,what film did the irish film board produce ,['Screen Ireland'],['irish film board']
261,Where was alfredo zacarias born?,['Alfredo Zacarías'],['alfredo zacarias']
262,what european country is fanny straw hair from,['Fanny Strawhair'],['european country']
263,what's the title of a science fantasy book,['science fantasy'],['science fantasy book']
264,Who plays the drum kit?,['drum kit'],['drum kit']
265,What is milan vilotić's birth place,['Milan Vilotić'],['milan vilotić']
266,which gender does joseph satoshi fukahori belong to,['Joseph Satoshi Fukahori'],['joseph satoshi fukahori']
267,what film was produced by carlo ponti?,['Carlo Ponti'],['carlo ponti']
268,what is joseph moxon's profession?,['Joseph Moxon'],['joseph moxon']
269,who directed the film ram lakhan,['Ram Lakhan'],['film ram lakhan']
270,which european nationality does henryk borowski belong to?,['Henryk Borowski'],"['henryk borowski', 'european nationality']"
271,Which artist recorded somethin' slick!?,"[""Somethin' Slick!""]","['artist', 'somethin']"
272,what movie is produced by walt disney pictures,['Walt Disney Pictures'],"['movie', 'walt disney pictures']"
273,what kind of object is 34419 corning?,['34419 Corning'],"['object', '34419 corning']"
274,which file did alex north write music for?,['Alex North'],['alex north']
275,what kind of music does yoon bomi play,['Yoon Bo-mi'],['yoon bomi']
276,What is the name of a football player that plays as a forward,['forward'],"['football player', 'forward']"
277,what language was used for the golden fortress,['Sonar Kella'],"['language', 'golden fortress']"
278,what is the gameplay mode of the sims 3: world adventures,['The Sims 3: World Adventures'],['sims 3']
279,in what category is hms e56 located,['HMS E56'],"['category', 'e56']"
280,which movie did a. r. murugadoss direct ,['A. R. Murugadoss'],['a. r. murugadoss']
281,what kind of sports team is houston cougars football,['Houston Cougars football'],['houston cougars football']
282,Which country is the film sjors en sjimmie en de gorilla from,['Sjors en Sjimmie en de Gorilla'],['sjors en sjimmie en de gorilla']
283,What film did bob kane contribute to?,['Bob Kane'],['bob kane']
284,what style of music does mariella farré sign,['Mariella Farré'],['mariella farré']
285,What is the nationality of Glenn Robinson III?,['Glenn Robinson III'],['Glenn Robinson III']
286,What is a film that charles strouse contributed music for?,['Charles Strouse'],['charles strouse']
287,where was eduard boltrushevich born,['Eduard Boltrushevich'],['eduard boltrushevich']
288,What genre is the Bonnie and Clyde film?,['Bonnie and Clyde'],['Bonnie and Clyde']
289,what country was mike's murder filmed,"[""Mike's Murder""]",['mike']
290,What type of space object is 20553 donaldhowk,['20553 Donaldhowk'],"['space object', '20553 donaldhowk']"
291,Where did haim amsalem begin his life?,['Haim Amsalem'],['haim amsalem']
292,What royal line does francis i of france come from?,['Francis I of France'],['france']
293,whats the language for the film  frøken kirkemus,['Frøken Kirkemus'],['frøken kirkemus']
294,which city was james brown born,['James Brown'],['james brown']
295,What type of album is deliverin in?,"[""Deliverin'""]",['album']
296,which type of people does roberto benigni belong to,['Roberto Benigni'],['roberto benigni']
297,which film did christopher mcquarrie write,['Christopher McQuarrie'],['christopher mcquarrie']
298,Name a screenwriter.,['screenwriter'],['screenwriter']
299,what is the occupation of mine mutlu,['Mine Mutlu'],['mine mutlu']
300,Which gender is antonio pagudo?,['Antonio Pagudo'],['antonio pagudo']
301,What language is the film love hurts in ,['Love Hurts'],"['language', 'film love']"
302,"what was richard haldane, 1st viscount haldanes place of death","['Richard Haldane, 1st Viscount Haldane']","['haldanes', 'richard haldane']"
303,who was the child of nefertari,['Nefertari'],['nefertari']
304,what football player was born in san giovanni bianco,['San Giovanni Bianco'],['san giovanni bianco']
305,Who was the director of the film titled the climax,['The Climax'],"['film', 'climax']"
306,Name a famous film director,['film director'],['famous film director']
307,which city was elisabeth nunziato born in?,['Elisabeth Nunziato'],['elisabeth nunziato']
308,what does brian jones play,['Brian Jones'],['brian jones']
309,Where is the matanuska-susitna borough located? ,['Matanuska-Susitna Borough'],['matanuska-susitna borough']
310,What is the name of a 1952 adventure film?,['adventure film'],['1952 adventure film']
311,which world war did gerald robert osullivan fight in,"[""Gerald Robert O'Sullivan""]",['gerald robert osullivan']
312,"What author wrote the book ""What Would Joey Do?""?",['What Would Joey Do?'],"['What Would Joey Do ?""']"
313,what musician was born in garfield,['Garfield'],['garfield']
314,what country was tracey ullman: live and exposed from?,['Tracey Ullman: Live and Exposed'],['tracey ullman']
315,What kind of a film is secrets of an actress?,['Secrets of an Actress'],"['film', 'actress']"
316,what city did henry gellibrand pass away in,['Henry Gellibrand'],['henry gellibrand']
317,what is christian gartner's country of nationality?,['Christian Gartner'],"['christian gartner', 'nationality']"
318,What's a book written by john reynolds gardiner,['John Reynolds Gardiner'],['john reynolds gardiner']
319,which country contains the lopburi river,['Lopburi River'],['lopburi river']
320,what was the title of the first movie of the batman film series,['Batman in film'],['batman film series']
321,what's a silent film from germany,['silent film'],['germany']
322,who created new wave music,['new wave'],['new wave music']
323,who released willies blues?,"[""Willie's Blues""]",['willies blues']
324,what type of music does kati kovács perform ,['Kati Kovács'],['kati kovács']
325,Name a famous Australian singer known for pop music?,['pop music'],['Australian']
326,Who was born in mexico city,['Mexico City'],['mexico city']
327,Which label signed trent reznor,['Trent Reznor'],['trent reznor']
328,what country is poochini's yard from?,"[""Poochini's Yard""]",['poochini']
329,whats a lower classification of  alpinia,['Alpinia'],['alpinia']
330,where was tommy breen born?,['Tommy Breen'],['tommy breen']
331,which musical style does wretched fall under?,['Wretched'],['musical style']
332,Where was bernadette strachan born in Europe?,['Bernadette Strachan'],"['Europe', 'bernadette strachan']"
333,"What is a city within fort bend county, texas?",['Fort Bend County'],"['fort bend county', 'texas']"
334,Name an indie rock artist. ,['indie rock'],['indie rock artist']
335,what is howard storm's nationality ,['Howard Storm'],['howard storm']
336,who died from asphyxia?,['asphyxia'],['asphyxia']
337,Name a place in the second level divisions of denmark,['Denmark'],['denmark']
338,who is a man born in texarkana,['Texarkana'],['texarkana']
339,what country is asko sarkola from,['Asko Sarkola'],['asko sarkola']
340,What type of music was made by reno kiilerich,['Reno Kiilerich'],['reno kiilerich']
341,What profession did madita have?,['Madita'],['madita']
342,what instrument does John Farnham play?,['John Farnham'],['John Farnham']
343,which production company produced the film saving private ryan?,['Saving Private Ryan'],"['production company', 'film', 'private ryan']"
344,what nationality is marcos tébar ,['Marcos Tébar'],['marcos tébar']
345,What is leonard proxauf's gender,['Leonard Proxauf'],['leonard proxauf']
346,What body of water does omaha road bridge number 15 pass over,['Omaha Road Bridge Number 15'],['omaha road bridge number 15']
347,is big kahuna words a single-player or multiplayer game,['Big Kahuna Words'],"['big kahuna words', 'single-player or multiplayer game']"
348,what is the sex of william hamley?,['William Hamley'],['william hamley']
349,what is the gender of ekathotsarot,['Ekathotsarot'],[]
350,what time zone is trenton located in?,['Trenton'],['trenton']
351,What's the taxonomic rank of aconitum,['Aconitum'],['aconitum']
352,which war did klaus-degenhard schmidt attned,['Klaus-Degenhard Schmidt'],['klaus-degenhard schmidt']
353,what does david wiesner do for a living,['David Wiesner'],['david wiesner']
354,What is Gene Taylor's birthplace?,['Gene Taylor'],['Gene Taylor']
355,Who is a child of pauline vanier,['Pauline Vanier'],['pauline vanier']
356,what country is mukoma ngugi originally from?,['Mũkoma wa Ngũgĩ'],['mukoma ngugi']
357,What got its name from hakaru hashimoto,['Hakaru Hashimoto'],[]
358,Who directed the movie without you i'm nothing?,"[""Without You I'm Nothing""]",['nothing']
359,What movie did jonathan davis write the score for,['Jonathan Davis'],['jonathan davis']
360,what language was kamikaze 1989 filmed in,['Kamikaze 1989'],"['language', 'kamikaze 1989']"
361,what kind of music is featured on the album wild. club'in,"[""Wild. Club'in""]","['music', 'album wild', ""club'in""]"
362,who directed so evil my love,['So Evil My Love'],['evil love']
363,is orpheus signed to mgm records or capital records,['Orpheus'],"['orpheus', 'mgm records or capital records']"
364,what is the nationality of shan serafin?,['Shan Serafin'],['shan serafin']
365,what is the title of a film that is a horror movie,['horror film'],"['film', 'horror movie']"
366,what nationality is karin svensson smith,['Karin Svensson Smith'],['karin svensson smith']
367,who plays defender position for AEP Paphos F.C.?,['defender'],['AEP Paphos F.C.']
368,What is a program that leonard b. stern created?,['Leonard B. Stern'],['leonard b. stern']
369,what position does kim hyeung-bum play ,['Kim Hyeung-bum'],['kim hyeung-bum']
370,what is responsible for paul newlan's death,['Paul Newlan'],['paul newlan']
371,what kind of music does pete briggs play,['Pete Briggs'],['pete briggs']
372,what is the gender of robert smith,['Robert Paul Smith'],['robert smith']
373,WHat position does juan pablo garat play,['Juan Pablo Garat'],['juan pablo garat']
374,Where in devon did hannah cowley die,['Hannah Cowley'],"['hannah cowley', 'devon']"
375,What company developed the game gex: enter the gecko,['Gex: Enter the Gecko'],"['company', 'game gex', 'gecko']"
376,what is rossy's gender?,['Rossy'],['rossy gender']
377,What country is the movie dp75: tartina city from,['DP75: Tartina City'],"['country', 'movie dp75']"
378,what genre of music is the album  it was all a dream,['It Was All a Dream'],"['music', 'album', 'dream']"
379,What is afonso Álvares's profession?,['Afonso Álvares'],['afonso Álvares']
