,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
92,what is the genre of bernthøler?,['New wave music'],"['pop music', 'Pop music', 'New wave music']",['pop music'],"['pop music', 'Pop music']","['pop music', 'Pop music', 'New wave music']",['pop music'],['pop music'],['pop music'],['pop music'],"['Pop music', 'New wave music']",['Pop music'],"['Pop music', 'New wave music']","['Pop music', 'New wave music', 'Blue Feather']"
93,where was hank cochran birthed,"['Isola, Mississippi']",['Isola'],['Isola'],"['Isola', '1935-08-02']","['Isola', '1935-08-02', '1935-08-02T00:00:00Z']",['Isola'],['Isola'],"['Isola', '1935-08-02T00:00:00Z']","['Isola', '1935-08-02T00:00:00Z']",['1935-08-02'],['1935-08-02'],"['1935-08-02', 'Isola  Mississippi']","['1935-08-02', 'Isola  Mississippi']"
94,what is the gender of eberhard kinzel?,[nan],['male'],['male'],"['male', 'military officer']","['male', 'military officer', 'y']",['male'],['male'],"['male', 'military officer']","['male', 'military officer', 'Eberhard']",['y'],['y'],"['y', 'Erika von Aschoff']","['y', 'Erika von Aschoff', '1897-10-18']"
95,What film was produced by monogram pictures?,['Montana Desperado'],"['Flight to Mars', 'Doomed to Die', 'Hold Back the Night', 'Riders of the Dusk', 'Port of Missing Girls', 'A Bride for Henry', 'Fighting Trouble', 'End of the Road', 'Kidnapped', 'Rainbow Valley', 'The Frightened City', 'Bad Boy', 'Fear', 'Suspense', 'Flat Top', 'High Tide', 'Never Love a Stranger', 'The County Fair', 'The Bat', 'El Cid', 'House on Haunted Hill', 'This Man Must Die', 'The Lawless Frontier', 'The Big Combo', 'The Trail Beyond', 'Last Summer', 'Hitler', 'The Come On', 'Soldier in the Rain', 'The Next Man', 'The Pawnbroker', 'Paradise Canyon', 'Crime in the Streets', 'The Babe Ruth Story', 'Blood on the Arrow', 'Black and White in Color', 'War Is Hell', 'Blue Steel', 'The Corpse Vanishes', 'Texas Terror', 'Desafío en Río Bravo', 'Enemy of Women', 'The Rebel Set', 'World for Ransom', 'Black Dragons', 'The Atomic Submarine', 'Machine-Gun Kelly', 'The Star Packer', 'The Man from Utah', 'The Naked Kiss', 'Indestructible Man', ""Let's Be Happy"", 'Riders of Destiny', 'Confessions of an Opium Eater', 'Attack of the 50 Foot Woman', 'Queen of Outer Space', 'Alice  Sweet Alice', 'Murder Is My Beat', 'A Brief Vacation', 'The Blood Rose', 'Bowery at Midnight', 'The Cry Baby Killer', ""Girl o' My Dreams"", 'West of the Divide', 'The George Raft Story', 'Attack of the Crab Monsters', 'Sagebrush Trail', 'The Big Circus', 'The Thirteenth Guest', 'Riot in Cell Block 11', 'The Lucky Texan', 'Pay or Die', 'Decoy', 'Macabre', 'The Moonstone', 'War of the Satellites', 'Teenage Doll', 'Bringing Up Father', 'Borrowed Hero', 'Cry of Battle', 'Curse of Simba', 'Hiawatha', 'Flying Wild', 'Hands of a Stranger', 'Hell to Eternity', 'In the Money', 'Klondike', 'Keeper of the Bees', 'Look in Any Window', 'Make a Million', 'It Happened on Fifth Avenue', 'Loophole', 'Angel Baby', 'The Gangster', 'The Thin Red Line', 'Chasing Trouble', 'East Side Kids', 'Junior Prom', 'Lucky Losers', 'Mr. Muggs Rides Again', 'Navy Wife', 'Across the Plains', 'The Cyclops', 'Bowery Battalion', ""Boys' Reformatory"", 'Barefoot Boy', 'Jungle Bride', 'The Highwayman', 'The Internecine Project', 'Dark Alibi', 'Live Wires', 'Mara of the Wilderness', 'News Hounds', 'Her First Romance', ""Angels' Alley"", 'Angels in Disguise', 'Black Market Babies', 'Danger Valley', 'Fall Guy', 'Hillbilly Blitzkrieg', 'Hot Rod Rumble', 'Shack Out on 101', 'Battle Zone', 'Boys of the City', 'Fighting Fools', 'Freckles Comes Home', 'Gang Bullets', 'The Betsy', 'Convicts 4', 'Galloping Romeo', 'Isle of Missing Men', ""Lady  Let's Dance"", 'Arizona Stage Coach', 'Blonde Dynamite', 'Bowery Bombshell', 'Clancy Street Boys', 'Dawn on the Great Divide', 'I Killed That Man', 'I Passed for White', 'Law Men', 'Violence', 'Trilogy', 'The Guilty', 'Police Court', 'Seven Angry Men', ""Smugglers' Cove"", 'Spook Chasers', 'Target Earth', ""The Gang's All Here"", 'The Hoosier Schoolmaster', 'The Man Outside', 'The Plunderers', 'The Traitor', 'Hot Shots', 'Operation Eichmann', 'Sky Dragon', 'When Strangers Marry', 'Phantom Ranger', 'Queen of the Yukon', 'Rubber Racketeers', 'Screaming Eagles', 'Shinbone Alley', 'Spook Busters', ""Tomorrow's Youth"", 'Trouble Makers', 'Women in Bondage', 'Triple Trouble', 'The Utah Kid', 'Phantom of Chinatown', 'Smart Woman', 'The Floating Dutchman', 'The Outer Gate', 'Three the Hard Way', 'Under the Big Top', 'This Is Not a Test']",['Flight to Mars'],"['Flight to Mars', 'Doomed to Die']","['Flight to Mars', 'Doomed to Die', 'Hold Back the Night']","['Love in the Afternoon', 'Flight to Mars', 'Hold Back the Night', 'County Fair', 'Riders of the Dusk', 'Under Arizona Skies', 'Doomed to Die', 'Port of Missing Girls', 'Shadows Over Chinatown', 'A Bride for Henry', 'Cherokee Uprising', 'Fighting Trouble', 'Ghosts on the Loose', 'Mutiny in the Big House', 'Cabaret', 'End of the Road', 'World Without End', 'Kidnapped', 'Rainbow Valley', 'The Frightened City', 'Bad Boy', 'Fear', 'Suspense', 'Dillinger', 'Flat Top', 'High Tide', 'Never Love a Stranger', 'The County Fair', 'The Bat', 'El Cid', 'House on Haunted Hill', 'This Man Must Die', 'The Lawless Frontier', 'The Big Combo', 'The Trail Beyond', 'Last Summer', 'Hitler', 'The Come On', 'Soldier in the Rain', 'The Next Man', 'The Pawnbroker', 'Paradise Canyon', 'Crime in the Streets', 'The Babe Ruth Story', 'Blood on the Arrow', 'Black and White in Color', 'War Is Hell', 'Blue Steel', 'The Corpse Vanishes', 'Texas Terror', 'Desafío en Río Bravo', 'Enemy of Women', 'The Rebel Set', 'World for Ransom', 'Black Dragons', 'The Atomic Submarine', 'Machine-Gun Kelly', 'The Star Packer', 'The Man from Utah', 'The Naked Kiss', 'Indestructible Man', ""Let's Be Happy"", 'Riders of Destiny', 'Confessions of an Opium Eater', 'Attack of the 50 Foot Woman', 'Queen of Outer Space', 'Alice  Sweet Alice', 'Murder Is My Beat', 'A Brief Vacation', 'The Blood Rose', 'Bowery at Midnight', 'The Cry Baby Killer', ""Girl o' My Dreams"", 'West of the Divide', 'The George Raft Story', 'Attack of the Crab Monsters', 'Sagebrush Trail', 'The Big Circus', 'The Thirteenth Guest', 'Riot in Cell Block 11', 'The Lucky Texan', 'Pay or Die', 'Violence', 'Trilogy', 'The Guilty', 'Police Court', 'Seven Angry Men', ""Smugglers' Cove"", 'Spook Chasers', 'Target Earth', ""The Gang's All Here"", 'The Hoosier Schoolmaster', 'The Man Outside', 'The Plunderers', 'The Traitor', 'Hot Shots', 'Operation Eichmann', 'Jail Busters', 'Sky Dragon', 'When Strangers Marry', 'Phantom Ranger', 'Queen of the Yukon', 'Rubber Racketeers', 'Screaming Eagles', 'Shinbone Alley', 'Spook Busters', ""Tomorrow's Youth"", 'Trouble Makers', 'Women in Bondage', 'Triple Trouble', 'The Utah Kid', 'Phantom of Chinatown', 'Smart Woman', 'The Floating Dutchman', 'The Outer Gate', 'Three the Hard Way', 'Under the Big Top', 'This Is Not a Test', 'The Strangler', 'Blazing Guns', 'Cow Country', 'Pie in the Sky', 'The Gay Cavalier', 'Panhandle', 'Pride of the Bowery', 'Revenge of the Zombies', 'Sensation Hunters', 'Seven Guns to Mesa', 'Shanghai Chest', 'The Last Alarm', ""The Old Swimmin' Hole"", 'Oh  What a Night', 'One Thrilling Night', 'Sky Bandits', 'Treasure of Ruby Hills', 'Spooks Run Wild', 'Women Must Dress', 'Lost in the Stratosphere', 'The Big Bankroll', 'Unwed Mother', 'Naked in the Sun', 'Massacre River', 'Hard Boiled Mahoney', 'Paradise Isle', 'Take Me Back to Oklahoma', 'Roar of the Press', 'Southside 1-1000', 'Strange Intruder', 'That Gang of Mine', 'The First Texan', 'The Loudspeaker', 'Shotgun', 'Bullwhip', 'Colorado Ambush', 'Abilene Trail', 'The Homesteaders', 'Rebel City', 'Oregon Passage', 'Fashion Model', 'Stolen Paradise', 'My Old Kentucky Home', 'Canyon River', 'Come Together', 'Texas Lawmen', ""Dead Man's Trail"", 'Flirting with Danger', 'Tangier Incident', 'Inside Information', 'Self Defense', 'Mother and Son', 'The Human Jungle', 'Wings Over the Pacific', 'Short Grass', 'The Maverick', 'Dragoon Wells Massacre', 'Snowfire', 'Finger Man', 'Phantom Killer', 'A Strange Adventure', 'Return from the Sea', 'Riders of the Frontier', 'The Bride and the Beast', 'Rose of the Rio Grande', 'Klondike Fury', 'Montana Desperado']",['Love in the Afternoon'],"['Love in the Afternoon', 'Flight to Mars']","['Love in the Afternoon', 'Flight to Mars', 'Doomed to Die']","['Friendly Persuasion', 'Killer Shark', 'And Millions Will Die', 'Ghosts on the Loose', 'The Feathered Serpent', 'Clipped Wings', 'Follow the Leader', 'Here Come the Marines', 'Mutiny in the Big House', 'Revenge of the Zombies', 'Shadows Over Chinatown', 'The Law Rides Again', 'White Lightning', 'Sing Sing Nights', 'The Oklahoman', ""I Wouldn't Be in Your Shoes"", 'The Painted Trail', 'Wings Over the Pacific', 'Across the Rio Grande', 'Gunning for Justice', 'Raiders of the South', ""You're Out of Luck"", 'Raiders of the Border', 'Forgotten Women', 'Romance of the Limberlost', 'Partners of the Trail', 'The Law Comes to Gunsight', 'The Phenix City Story', 'World Without End', 'Looking for Danger', 'Up in Smoke', 'Love in the Afternoon', 'High School Hero', 'The Missing Lady', 'A Girl of the Limberlost', ""A Woman's Man"", 'Cavalry Scout', 'Cheers of the Crowd', 'Footsteps in the Night', 'Song of the Range', 'The Marines Are Here', 'Two Fisted Justice', 'Cherokee Uprising', 'Laughing at Danger', 'On the Spot', 'The Sweetheart of Sigma Chi', 'A Modern Marriage', 'Beauty and the Bandit', 'Song of the Drifter', 'Song of the Sierras', 'Song of the Wasteland']",['Friendly Persuasion'],"['Friendly Persuasion', 'Killer Shark']","['Friendly Persuasion', 'Killer Shark', 'And Millions Will Die']"
96,What gender is laura kirkpatrick,[nan],['51'],['51'],"['51', 'female']","['51', 'female', 'Sioux']",['51'],['51'],"['51', 'female']","['51', 'female', '168']",['Sioux'],['Sioux'],"['Sioux', 'Auburn']","['Sioux', 'Auburn', '1989-06-12']"
97,What language does Sanjog Se Bani Sangini speak?,['Hindi'],['Nepalese'],['Nepalese'],"['Nepalese', 'Nepal']","['Nepalese', 'Nepal', 'Italy']",['Nepalese'],['Nepalese'],"['Nepalese', 'Nepal']","['Nepalese', 'Nepal', 'Italy']",[],[],[],[]
98,What gameplay options are available for the game growlanser iv: wayfarer of the time,[nan],['Single-player'],['Single-player'],"['Single-player', 'single-player']","['Single-player', 'single-player', 'role-playing']","['single-player', 'role-playing']",['single-player'],"['single-player', 'role-playing']","['single-player', 'role-playing', 'PlayStation 2']",['Single-player'],['Single-player'],"['Single-player', 'Tactical']","['Single-player', 'Tactical', 'PlayStation Portable']"
99,what kind of game is super monkey ball: banana blitz,['Platform game'],['Wii'],['Wii'],"['Wii', 'HD']","['Wii', 'HD', 'platform game']",['Wii'],['Wii'],"['Wii', 'platform game']","['Wii', 'platform game', 'multiplayer video game']",['Wii'],['Wii'],"['Wii', 'HD']","['Wii', 'HD', 'GamePro']"
100,who wrote the film the inner circle,['Andrei Konchalovsky'],['Eduard Artemyev'],['Eduard Artemyev'],"['Eduard Artemyev', 'Andrei Konchalovsky']","['Eduard Artemyev', 'Andrei Konchalovsky', 'Sweat']",['Eduard Artemyev'],['Eduard Artemyev'],"['Eduard Artemyev', 'Andrei Konchalovsky']","['Eduard Artemyev', 'Andrei Konchalovsky']",['Sweat'],['Sweat'],['Sweat'],['Sweat']
101,where is the birthplace of rob margolies,"['Rumson, New Jersey']",,,,,,,,,,,,
102,name a piano player.,['A. J. Jackson'],,,,,,,,,,,,
103,what language is used in harbour drift,[nan],,,,,,,,,,,,
104,who is the videogame developer of roc'n rope,['Konami'],,,,,,,,,,,,
105,what was joseph-ferdinand daniel's place of death,[nan],,,,,,,,,,,,
106,who directed the film drums of tahiti,['William Castle'],,,,,,,,,,,,
107,Where is philippe delorme from?,['Pantin'],,,,,,,,,,,,
108,where was gail harris born?,['Batley'],,,,,,,,,,,,
109,Is anatoliy matkevych male or female?,[nan],,,,,,,,,,,,
110,what position does bernie graham play,[nan],,,,,,,,,,,,
111,who developed the computer videogame empire earth,[nan],,,,,,,,,,,,
112,who's a kung fu star from hong kong,['Cecilia Yip'],,,,,,,,,,,,
113,What's a gameplay mode in silhouette mirage,['Single-player video game'],,,,,,,,,,,,
114,Which canadian city was william southam born in,['Montreal'],,,,,,,,,,,,
115,which position does ray lewis play,['Linebacker'],,,,,,,,,,,,
116,What genre of music is dj nelson?,['Urbano music'],,,,,,,,,,,,
117,What is the name of the crater on the moon named for georg ohm?,['Abohm'],,,,,,,,,,,,
118,what's a eurodance by ian van dahl,['2 Brothers on the 4th Floor'],,,,,,,,,,,,
119,where was harvey lowe given birth,"['Victoria, British Columbia']",,,,,,,,,,,,
120,Who was the developer of lego creator: knights kingdom?,['Superscape'],,,,,,,,,,,,
121,What is alain sutter position,['Midfielder'],,,,,,,,,,,,
122,Which position in football did lee ho-jin play,['Forward (association football)'],,,,,,,,,,,,
123,what does henry nielsen do,['Stage'],,,,,,,,,,,,
124,Who composed the music for the salamander?,['Jerry Goldsmith'],,,,,,,,,,,,
125,which city did carl-alfred schumacher die,[nan],,,,,,,,,,,,
126,which city was ezekiel f. chambers born,"['Chestertown, Maryland']",,,,,,,,,,,,
127,how is magnant played,[nan],,,,,,,,,,,,
128,which city was gail davis born,"['Little Rock, Arkansas']",,,,,,,,,,,,
129,what style of music is the best of the stylistics released in?,[nan],,,,,,,,,,,,
130,who was a famous person born in gwalior,['Kshitij Wagh'],,,,,,,,,,,,
131,What is thomas Östros' profession?,['Economist'],,,,,,,,,,,,
132,Who wrote the case of the toxic spell dump,['Harry Turtledove'],,,,,,,,,,,,
133,What is an album by phil manzanera?,[nan],,,,,,,,,,,,
134,"Where was john f. mulholland, jr. born?",[nan],,,,,,,,,,,,
135,who directed the spanish gypsy,['D. W. Griffith'],,,,,,,,,,,,
136,where did prince arthur of connaught die,[nan],,,,,,,,,,,,
137,where in england was rik mayall's place of birth?,['Harlow'],,,,,,,,,,,,
138,Who is the famous father of jack carter,['Rosalynn Carter'],,,,,,,,,,,,
139,where was harold gore's birthplace,"['Cambridge, Massachusetts']",,,,,,,,,,,,
140,Who produced the ladykillers?,['Barry Josephson'],,,,,,,,,,,,
141,Is ricardo delgado male of female,[nan],,,,,,,,,,,,
142,Which movie did a time to love and a time to die direct?,['Douglas Sirk'],,,,,,,,,,,,
143,what is constantinos mina gender,[nan],,,,,,,,,,,,
144,what killed tom held,[nan],,,,,,,,,,,,
145,Where was pierre samuel du pont de nemours' place of birth?,[nan],,,,,,,,,,,,
146,What kind of music is dirty work,[nan],,,,,,,,,,,,
147,where did archie maclaren pass away,['Berkshire'],,,,,,,,,,,,
148,Where was yuriy furta birthed,['Ukrainian Soviet Socialist Republic'],,,,,,,,,,,,
149,Which Italian music composer was born in gaeta?,['Erasmo di Bartolo'],,,,,,,,,,,,
150,What position does karsten smith play,['Defender (association football)'],,,,,,,,,,,,
151,What is ville vänni's gender,[nan],,,,,,,,,,,,
152,What italian writer is credited on the church?,[nan],,,,,,,,,,,,
153,what game is a platform game?,['2 Fast 4 Gnomz'],,,,,,,,,,,,
154,What country is yvonne ryding from?,['Sweden'],,,,,,,,,,,,
155,Where in europe was barbara hicks born,['Wolverhampton'],,,,,,,,,,,,
156,where did tillie k. fowler die?,[nan],,,,,,,,,,,,
157,which position is anthony barry known for,['Midfielder'],,,,,,,,,,,,
158,What gender is otto nagel,[nan],,,,,,,,,,,,
159,which guitarist is represented by columbia records?,['2021 (song)'],,,,,,,,,,,,
160,What country does the ellice river run through,[nan],,,,,,,,,,,,
161,what position does horst heldt play,['Midfielder'],,,,,,,,,,,,
162,what film did the irish film board produce,[nan],,,,,,,,,,,,
163,Where was alfredo zacarias born?,['Mexico'],,,,,,,,,,,,
164,what european country is fanny straw hair from,['France'],,,,,,,,,,,,
165,what's the title of a science fantasy book,['Perilous Dreams'],,,,,,,,,,,,
166,Who plays the drum kit?,['Borko'],,,,,,,,,,,,
167,What is milan vilotić's birth place,['Belgrade'],,,,,,,,,,,,
168,which gender does joseph satoshi fukahori belong to,[nan],,,,,,,,,,,,
169,what film was produced by carlo ponti?,['More Than a Miracle'],,,,,,,,,,,,
170,what is joseph moxon's profession?,['Printer'],,,,,,,,,,,,
171,who directed the film ram lakhan,['Subhash Ghai'],,,,,,,,,,,,
172,what movie is produced by walt disney pictures,['Arjun: The Warrior Prince'],,,,,,,,,,,,
173,which file did alex north write music for?,['A Dream of Kings (film)'],,,,,,,,,,,,
174,what kind of music does yoon bomi play,['Synth-pop'],,,,,,,,,,,,
175,what language was used for the golden fortress,['Bengali language'],,,,,,,,,,,,
176,what is the gameplay mode of the sims 3: world adventures,[nan],,,,,,,,,,,,
177,which movie did a. r. murugadoss direct,['7aum Arivu'],,,,,,,,,,,,
178,What film did bob kane contribute to?,[nan],,,,,,,,,,,,
179,what style of music does mariella farré sign,[nan],,,,,,,,,,,,
180,What is a film that charles strouse contributed music for?,['Bonnie and Clyde (film)'],,,,,,,,,,,,
181,where was eduard boltrushevich born,['Primorsky Krai'],,,,,,,,,,,,
182,Where did haim amsalem begin his life?,['French Algeria'],,,,,,,,,,,,
183,which city was james brown born,"['Beaumont, Texas']",,,,,,,,,,,,
184,What type of album is deliverin in?,[nan],,,,,,,,,,,,
185,which film did christopher mcquarrie write,['The Tourist (2010 film)'],,,,,,,,,,,,
186,Name a screenwriter.,['Adam Simon'],,,,,,,,,,,,
187,"what was richard haldane, 1st viscount haldanes place of death",['Auchterarder'],,,,,,,,,,,,
188,who was the child of nefertari,['Amun-her-khepeshef'],,,,,,,,,,,,
189,what football player was born in san giovanni bianco,['Alex Baldaccini'],,,,,,,,,,,,
190,Who was the director of the film titled the climax,['George Waggner'],,,,,,,,,,,,
191,Name a famous film director,['Alan Ormsby'],,,,,,,,,,,,
192,what does brian jones play,['Guitar'],,,,,,,,,,,,
193,which world war did gerald robert osullivan fight in,['Gallipoli campaign'],,,,,,,,,,,,
194,what musician was born in garfield,['David Brigati'],,,,,,,,,,,,
195,what country was tracey ullman: live and exposed from?,['United States'],,,,,,,,,,,,
196,what city did henry gellibrand pass away in,[nan],,,,,,,,,,,,
197,what is christian gartner's country of nationality?,['Kittsee'],,,,,,,,,,,,
198,What's a book written by john reynolds gardiner,['Stone Fox'],,,,,,,,,,,,
199,which country contains the lopburi river,[nan],,,,,,,,,,,,
200,what's a silent film from germany,['39 East'],,,,,,,,,,,,
201,who created new wave music,['21st Century Boy'],,,,,,,,,,,,
202,what type of music does kati kovács perform,['Jazz'],,,,,,,,,,,,
203,Name a famous Australian singer known for pop music?,['(One Glance Is) Holy'],,,,,,,,,,,,
204,Who was born in mexico city,['Alejandro Springall'],,,,,,,,,,,,
205,Which label signed trent reznor,[nan],,,,,,,,,,,,
206,where was tommy breen born?,['Drogheda'],,,,,,,,,,,,
207,which musical style does wretched fall under?,[nan],,,,,,,,,,,,
208,Name an indie rock artist.,['3D Friends'],,,,,,,,,,,,
209,who died from asphyxia?,['Rosamond Pinchot'],,,,,,,,,,,,
210,who is a man born in texarkana,['Walter E. Rogers'],,,,,,,,,,,,
211,What type of music was made by reno kiilerich,['Death metal'],,,,,,,,,,,,
212,What profession did madita have?,['Singer'],,,,,,,,,,,,
213,what instrument does John Farnham play?,[nan],,,,,,,,,,,,
214,which production company produced the film saving private ryan?,[nan],,,,,,,,,,,,
215,What is leonard proxauf's gender,[nan],,,,,,,,,,,,
216,What body of water does omaha road bridge number 15 pass over,['Mississippi River'],,,,,,,,,,,,
217,what is the sex of william hamley?,[nan],,,,,,,,,,,,
218,what is the gender of ekathotsarot,[nan],,,,,,,,,,,,
219,what time zone is trenton located in?,['Mountain Time Zone'],,,,,,,,,,,,
220,which war did klaus-degenhard schmidt attned,[nan],,,,,,,,,,,,
221,what does david wiesner do for a living,['Illustrator'],,,,,,,,,,,,
222,What is Gene Taylor's birthplace?,['Detroit'],,,,,,,,,,,,
223,What movie did jonathan davis write the score for,['Queen of the Damned'],,,,,,,,,,,,
224,what kind of music is featured on the album wild. club'in,[nan],,,,,,,,,,,,
225,who directed so evil my love,['Lewis Allen (director)'],,,,,,,,,,,,
226,is orpheus signed to mgm records or capital records,['MGM Records'],,,,,,,,,,,,
227,What is a program that leonard b. stern created?,['He & She (TV series)'],,,,,,,,,,,,
228,what position does kim hyeung-bum play,['Midfielder'],,,,,,,,,,,,
229,what kind of music does pete briggs play,['Jazz'],,,,,,,,,,,,
230,what is the gender of robert smith,[nan],,,,,,,,,,,,
231,WHat position does juan pablo garat play,['Defender (association football)'],,,,,,,,,,,,
232,Where in devon did hannah cowley die,[nan],,,,,,,,,,,,
233,What company developed the game gex: enter the gecko,['Crystal Dynamics'],,,,,,,,,,,,
234,what is rossy's gender?,[nan],,,,,,,,,,,,
235,What country is the movie dp75: tartina city from,['Chad'],,,,,,,,,,,,
236,what genre of music is the album  it was all a dream,[nan],,,,,,,,,,,,
237,What is afonso Álvares's profession?,['Master'],,,,,,,,,,,,
238,what type of music is on ricochet?,[nan],,,,,,,,,,,,
239,which city did leo erdody die,['Los Angeles'],,,,,,,,,,,,
240,what nationality is jorge i. dominguez,['Cuba'],,,,,,,,,,,,
241,Which language is the film terminal city ricochet in,[nan],,,,,,,,,,,,
242,what is cai chusheng's place of birth?,['China'],,,,,,,,,,,,
243,What city did lucas demare die in,['Buenos Aires'],,,,,,,,,,,,
244,Who's a person born in sydney?,['A. David Buckingham'],,,,,,,,,,,,
245,where did jay robinson die,['Los Angeles'],,,,,,,,,,,,
246,Who is from skopje,['Boban Grnčarov'],,,,,,,,,,,,
247,Who is someone that was born in stockholm,['Anders Michanek'],,,,,,,,,,,,
248,What nationality is k. rajagopal,[nan],,,,,,,,,,,,
249,What genre does the everly brothers sing great country hits represent,[nan],,,,,,,,,,,,
250,what position does paul donnelly play?,[nan],,,,,,,,,,,,
251,Name someone who died of cancer,['Montgomery Pittman'],,,,,,,,,,,,
252,what is the country of origin of the tv show billable hours,['Canada'],,,,,,,,,,,,
253,what position does floyd bannister play,['Pitcher'],,,,,,,,,,,,
254,WHo did the music for the film sachché ká bol-bálá,['Bappi Lahiri'],,,,,,,,,,,,
255,after the truth is in what language,['Cinema of Germany'],,,,,,,,,,,,
256,who was born in wokingham?,['Harry Hall (cricketer)'],,,,,,,,,,,,
257,where was the body of daniel sickles buried,['Arlington National Cemetery'],,,,,,,,,,,,
258,who was the author of the end of eternity,['Isaac Asimov'],,,,,,,,,,,,
259,What is the gender of patsy rowlands?,[nan],,,,,,,,,,,,
260,who plays a pitcher in baseball,['A.J. Puckett'],,,,,,,,,,,,
261,What is the gender of jabari asim?,[nan],,,,,,,,,,,,
262,who produced the street of forgotten men?,['Adolph Zukor'],,,,,,,,,,,,
263,Name a person who was born in helsinki,['Anu Palevaara'],,,,,,,,,,,,
264,which former dutch footballer was born in amsterdam,['Mohammed Bouyeri'],,,,,,,,,,,,
265,whats the name of an indie rock performer,['3D Friends'],,,,,,,,,,,,
266,what is silvio schröter's county of nationality?,['East Germany'],,,,,,,,,,,,
267,Where was delly ranx born,['Jamaica'],,,,,,,,,,,,
268,what is a position played by martin wagner,[nan],,,,,,,,,,,,
269,What is the name of a rhythm and blues album?,['24/7 (Meek Mill song)'],,,,,,,,,,,,
270,Where did duke esper pass away,['Philadelphia'],,,,,,,,,,,,
271,where in france did  daniel singer pass away,[nan],,,,,,,,,,,,
272,what is mervat tallawy's nationality,['Egypt'],,,,,,,,,,,,
273,who was born in rendsburg,['Hans Blohm'],,,,,,,,,,,,
274,what style of music is anime speed,[nan],,,,,,,,,,,,
275,What is one of the gameplay modes in call of duty: black ops ii?,['Single-player video game'],,,,,,,,,,,,
276,where was what play did  born,"['Saint Boniface, Winnipeg']",,,,,,,,,,,,
277,what type of game is blazblue: calamity trigger released in?,['Fighting game'],,,,,,,,,,,,
278,who was the production company for the film rip!: a remix manifesto,['National Film Board of Canada'],,,,,,,,,,,,
279,where in california was  benji schwimmer born,['California'],,,,,,,,,,,,
280,where was jocelyne lagarde born,['Papeete'],,,,,,,,,,,,
281,what is aleksei kostenko's gender,[nan],,,,,,,,,,,,
282,which gender is william dominic austin,[nan],,,,,,,,,,,,
283,which constellation is hd 157753 a part of,['Ara (constellation)'],,,,,,,,,,,,
284,Where was george karl born?,"['Penn Hills Township, Allegheny County, Pennsylvania']",,,,,,,,,,,,
285,who's a notable screenwriter from tel aviv,['Adam Simon'],,,,,,,,,,,,
286,"what is charles, prince of wales's religion",[nan],,,,,,,,,,,,
287,Name a woman who works as an actress,['A. J. Bowen'],,,,,,,,,,,,
288,is charlie mason an outfielder or infielder,[nan],,,,,,,,,,,,
289,What is a gameplay mode that can be found on bomberman touch 2: volcano party?,[nan],,,,,,,,,,,,
290,Where is masse broberg from,[nan],,,,,,,,,,,,
291,where was dudley foster born,['Brighouse'],,,,,,,,,,,,
292,Who was the director of frank oz,['The Score (2001 film)'],,,,,,,,,,,,
293,what gender is kinya aikawa,[nan],,,,,,,,,,,,
294,Where was gerardus vossius place of birth,[nan],,,,,,,,,,,,
295,Which position does claudiano alves dos santos play in football,[nan],,,,,,,,,,,,
296,Who is a person that was born in weston,['Garvin Mugg'],,,,,,,,,,,,
297,which country is nicholas miccarelli iii from,[nan],,,,,,,,,,,,
298,which modes does atv offroad fury 3 have,['Single-player video game'],,,,,,,,,,,,
299,where was patsy tebeau born,['St. Louis'],,,,,,,,,,,,
300,what position does joão miguel play?,['Defender (association football)'],,,,,,,,,,,,
301,Whose death was caused by myocardial infarction?,['Moses J. Epstein'],,,,,,,,,,,,
302,george ardisson is what gender?,[nan],,,,,,,,,,,,
303,who plays the piano?,['A. J. Jackson'],,,,,,,,,,,,
304,where was paul shipton born,['Manchester'],,,,,,,,,,,,
305,what position does alemayo kebede play,['Midfielder'],,,,,,,,,,,,
306,Name someone who was born in rockford,['Charles Henry Gilbert'],,,,,,,,,,,,
307,is robert whitaker male or female,[nan],,,,,,,,,,,,
308,What is the nationality of irina shayk,[nan],,,,,,,,,,,,
309,What label is bushman associated with,['VP Records'],,,,,,,,,,,,
310,where did leone giraldoni die,[nan],,,,,,,,,,,,
311,what is jenna lee's ethnicity?,[nan],,,,,,,,,,,,
312,which song did brian molko write the lyrics to,['Every You Every Me'],,,,,,,,,,,,
313,"who is the producer of the film paris, texas",[nan],,,,,,,,,,,,
314,where was jeff manship born,['San Antonio'],,,,,,,,,,,,
315,which city did nikolai ostrovsky die,['Moscow'],,,,,,,,,,,,
316,Who directed the film vellinakshatram,['Vinayan'],,,,,,,,,,,,
317,What language is the movie viswanatha nayakudu in?,['Telugu language'],,,,,,,,,,,,
318,which war did george welch fight in,['Attack on Pearl Harbor'],,,,,,,,,,,,
319,Name tony castillo's profession?,['Pitcher'],,,,,,,,,,,,
320,where did jahangir die,[nan],,,,,,,,,,,,
321,what position does pat dillard play in baseball,['Infielder'],,,,,,,,,,,,
322,which country released small time gangster,['Australia'],,,,,,,,,,,,
323,what biological gender is nicolas provost,[nan],,,,,,,,,,,,
324,what city and state in america did  pete candoli pass away,"['Studio City, Los Angeles']",,,,,,,,,,,,
