"Question";"First 3 Words";"Last 3 Words"
"Who was succeeded by Arthur Gegei as the office holder ?";"Who was succeeded";" office holder ?"
"Which district of Thorington railway station is the location of death of  David Lewis (poet) ?";"Which district of";" Lewis (poet) ?"
"What does the river flow into, whose left tributary is Bukovica?";"What does the";" tributary is Bukovica?"
"Is Ella Fitzgerald associated with Mickey Roker?";"Is Ella Fitzgerald";" with Mickey Roker?"
"What are the houses of the legislature where the leader is called Pullaiahgaripalli ?";"What are the";" called Pullaiahgaripalli ?"
"List the battles fought by Roh Tae-woo?";"List the battles";" by Roh Tae-woo?"
"How many people have worked in the band one of whose current member is Hynief?";"How many people";" member is Hynief?"
"Name a company with one of the key person as Edwin Catmull and produces RenderMan?";"Name a company";" and produces RenderMan?"
"What have some famous Christians died of?";"What have some";" Christians died of?"
"What is the television show whose judges is Randy Jackson?";"What is the";" is Randy Jackson?"
"What is the draft team of the ice hockey players whose position is Centre ?";"What is the";" is Centre ?"
"Greek writers have won which award?";"Greek writers have";" won which award?"
"Did Bob Suci play for the New England Patriots?";"Did Bob Suci";" New England Patriots?"
"Which office holder's military branch is Continental Army and vice president is John Adams?";"Which office holder's";" is John Adams?"
"Where did the genres originate, which were in the Harry and the Potters album?";"Where did the";" the Potters album?"
"Who discovered Europa and Callisto?";"Who discovered Europa";" Europa and Callisto?"
"Which content license of the MSX BASIC is also the profession of the Laura K. Ipsen?";"Which content license";" Laura K. Ipsen?"
"Which office's people have died on the US Route 165?";"Which office's people";" US Route 165?"
"Does the hudson river flow into the lower manhattan?";"Does the hudson";" the lower manhattan?"
"What is the main common interests of the Philip Novak and Timothy Morton?";"What is the";" and Timothy Morton?"
"Who is the spouse of Daniel Gibson?";"Who is the";" of Daniel Gibson?"
"Was Tommy Tucker's Tooth animated by Walt Disney?";"Was Tommy Tucker's";" by Walt Disney?"
"What common relegion affiliation exists for udit Raj and Wickramabahu Central College ?";"What common relegion";" Central College ?"
"Count the number of movies whose distributor is RKO Pictures and director of photography is Gregg Toland?";"Count the number";" is Gregg Toland?"
"Which company owns the airlines whose hub is in Detroit?";"Which company owns";" is in Detroit?"
"What kind of games does Blizzard games develop?";"What kind of";" Blizzard games develop?"
"Who is office holder of constituencies Duboce Triangle and Noe Valley?";"Who is office";" and Noe Valley?"
"Name the licensee of the WRVU who has the affiliation of Monroe Carell Jr. Children's Hospital at Vanderbilt?";"Name the licensee";" Hospital at Vanderbilt?"
"Which rivers start at the Brower's Spring?";"Which rivers start";" the Brower's Spring?"
"Count the awards received by Immunologists?";"Count the awards";" received by Immunologists?"
"Which birthplace of Liliya Lobanova is also the location of the Snake Island?";"Which birthplace of";" the Snake Island?"
"is ANYway in the Quack album?";"is ANYway in";" the Quack album?"
"Which hometown of pavel Moroz is also the palace of birthplace of Helena of Moscow ?";"Which hometown of";" of Moscow ?"
"What faith of Buddhist Tai Hung College is also the acadmeic interest of Paul Demiville ?";"What faith of";" Paul Demiville ?"
"How many different currencies are used in the places governed by the president of France?";"How many different";" president of France?"
"In which military conflict were Phm Vn ng and John McEwen commanders ?";"In which military";" McEwen commanders ?"
"Which university's graduates have worked in the Quartermaster corps?";"Which university's graduates";" the Quartermaster corps?"
"For all the senators who once studied in Sturm College of Law, give their burial place?";"For all the";" their burial place?"
"Where did the office holder who has predecessor Marco Aurelio Robles died?";"Where did the";" Aurelio Robles died?"
"Is Shaun Thong a member of Audi?";"Is Shaun Thong";" member of Audi?"
"Count the number of artists in the Cirque du Soleil discography?";"Count the number";" du Soleil discography?"
"Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju?";"Which political party";" Datl Satyanarayana Raju?"
"Which sitcom's company is Paramount Television and is located in Cheers Beacon hill?";"Which sitcom's company";" Cheers Beacon hill?"
"From how many works is the musical derived, whose lyrics are written by Sheldon Harnick?";"From how many";" by Sheldon Harnick?"
"Which is county seat of the King County, Washington and PLACE OF DEATH of the Phil Lumpkin ?";"Which is county";" Phil Lumpkin ?"
"How many sports are played in maharashtran schools?";"How many sports";" in maharashtran schools?"
"How many teams have LA kings players in them currently?";"How many teams";" in them currently?"
"What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?";"What is the";" Norwalk Historical Cemetery?"
"Was Kevin Jonas a part of Jonas brothers?";"Was Kevin Jonas";" of Jonas brothers?"
"Was winston churchill the prime minister of Selwyn Lloyd?";"Was winston churchill";" of Selwyn Lloyd?"
"Count the number of cities around the American Mediterranean Sea?";"Count the number";" American Mediterranean Sea?"
"What is the launch site of Aquarius (rocket) ?";"What is the";" Aquarius (rocket) ?"
"Name the river whose mouth country is Mozambique and source region is North-Western Province, Zambia?";"Name the river";" North-Western Province, Zambia?"
"Count the number of religions followed by the alumini of Ananda College.";"Count the number";" of Ananda College."
"Name few movies directed by Tim Burton ?";"Name few movies";" Tim Burton ?"
"Which companies have launched a rocket from Cape Canaveral Air Force station?";"Which companies have";" Air Force station?"
"King crimson has been recorded in which places?";"King crimson has";" in which places?"
"What is the route end of NorthSouth Transport Corridor ?";"What is the";" Transport Corridor ?"
"What is the academic discipline of Journal of Cerebral Blood Flow & Metabolism ?";"What is the";" & Metabolism ?"
"How many people live in Wilton, Connecticut?";"How many people";" in Wilton, Connecticut?"
"Name the partners of the models whose one of the partner is Thom Evans ?";"Name the partners";" Thom Evans ?"
"List the software which uses Microsoft Windows as their operating system ?";"List the software";" operating system ?"
"Which municipality is neighbored by Cologny and Chne-Bougeries?";"Which municipality is";" Cologny and Chne-Bougeries?"
"List the former team of the american football players born in Pennsylvania ?";"List the former";" in Pennsylvania ?"
"Which associate of Thomas bryan Martin is also the president of Carmichael?";"Which associate of";" president of Carmichael?"
"Who is the producer of album, which has the song Eclipse ?";"Who is the";" song Eclipse ?"
"List the former partner of the figure skaters whose former choreographer was Igor Shpillband.";"List the former";" was Igor Shpillband."
"Jeff Munn is the president of which basketball team?";"Jeff Munn is";" which basketball team?"
"Name the common associate band of Blayse and Teddy Riley?";"Name the common";" and Teddy Riley?"
"List the people casted in Betsy's Wedding and 16 candles?";"List the people";" and 16 candles?"
"What are the movies directed by Joel Schumacher?";"What are the";" by Joel Schumacher?"
"How many movies have had a cinematographer who died in US?";"How many movies";" died in US?"
"List the outflows of the lake which has Benu river as one of it?";"List the outflows";" one of it?"
"What are some primates?";"What are some";" are some primates?"
"With which musical artist is the music group which sung Mind Blowin' related to ?";"With which musical";" related to ?"
"Who made the singles on the famous album Aida?";"Who made the";" famous album Aida?"
"Who is a famous relative of Aaround Van Heemstra?";"Who is a";" Aaround Van Heemstra?"
"What is the mascot of the alma mater of Deborah Crombie?";"What is the";" of Deborah Crombie?"
"Name the military units whose command structure's headquarters is The Pentagon?";"Name the military";" is The Pentagon?"
"How many awards have been awarded to people who are buried in Glendale, California?";"How many awards";" in Glendale, California?"
"In which races did Mouse Morris take part?";"In which races";" Morris take part?"
"How many people used to play in the youthclub of FC Barcelona?";"How many people";" of FC Barcelona?"
"What is the ethnicity of Linda Hogan?";"What is the";" of Linda Hogan?"
"Where were Micheal Santos and Wendy Jaquet born?";"Where were Micheal";" Wendy Jaquet born?"
"In how many places have the companies started in Newcastle worked?";"In how many";" in Newcastle worked?"
"What are all the prizes won by the writer of A Grand Day Out?";"What are all";" Grand Day Out?"
"To which uni did sidney c patridge and cyril hume both once went?";"To which uni";" both once went?"
"Which president was served by someone whose lieutenant is Lewis Stuyvesant Chanler?";"Which president was";" Lewis Stuyvesant Chanler?"
"Which fictional character sculpted by Josh Friedmann was portrayed in Terminator 3 ?";"Which fictional character";" Terminator 3 ?"
"Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?";"Name the common";" Minar, Kolkata ?"
"How many sports are played in organizations presided by Emanuel de Guzman?";"How many sports";" Emanuel de Guzman?"
"Did taylor swift do the theme song of The Farmer Wants a Wife?";"Did taylor swift";" Wants a Wife?"
"Food in which countries has shallot in it?";"Food in which";" shallot in it?"
"List the schools of the athlete with Balgowan as one of the school?";"List the schools";" of the school?"
"Where is the office of P Elmo Futrell Jr?";"Where is the";" Elmo Futrell Jr?"
"What all are written in the C programming language?";"What all are";" C programming language?"
"Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro?";"Name the city";" as Luigi Brugnaro?"
"Which company was founded by Fusajiro Yamauchi?";"Which company was";" by Fusajiro Yamauchi?"
"What are the towns who have Thesaban system?";"What are the";" have Thesaban system?"
"Name the person who was educated at Harvard-Westlake and won the Screen Actor Guild Life Achievement Award ?";"Name the person";" Achievement Award ?"
"For which country did Alexander Lippisch design airplanes?";"For which country";" Lippisch design airplanes?"
"Tirana is the largest city of which country?";"Tirana is the";" of which country?"
"Is Neungin High school a buddhist school?";"Is Neungin High";" a buddhist school?"
"What is the meaning of the Isa (name) which is also a relegion of Sacred Heart Convent School (Bangkok) ?";"What is the";" School (Bangkok) ?"
"Who is the writer of The Sandman (Vertigo) ?";"Who is the";" Sandman (Vertigo) ?"
"Name some basketball players who have played for chicago bulls?";"Name some basketball";" for chicago bulls?"
"In which states can I find Truss bridges?";"In which states";" find Truss bridges?"
"Count the total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?";"Count the total";" (taxonomy) is Diprotodontia?"
"Name the university which has Lieutenaunt general as superintendent and mascot as Gyrfalcon ?";"Name the university";" as Gyrfalcon ?"
"Which awards did the creator of A Barrel of Laughs, a Vale of Tears won ?";"Which awards did";" Tears won ?"
"Who is the person who are on the board of Freedom of the City?";"Who is the";" of the City?"
"In which city wasthe Live at The Triple Door (The Courage album) performed?";"In which city";" Courage album) performed?"
"Who have John Randolph of Roanoke as predecessor?";"Who have John";" Roanoke as predecessor?"
"Who directed The Haunted House ?";"Who directed The";" Haunted House ?"
"What magazine published Allal and is the employer of Peter Bergman?";"What magazine published";" of Peter Bergman?"
"Which games publishers are located in California?";"Which games publishers";" located in California?"
"What is the common military branch of the Thomas Darden and that of Edwin F. Hunter?";"What is the";" Edwin F. Hunter?"
"Count the religions followed by people living in British Columbia.";"Count the religions";" in British Columbia."
"Who was the architect of the stadium currently run by the Pittsburgh Pirates?";"Who was the";" the Pittsburgh Pirates?"
"How many mammals are in the Chordate phylum?";"How many mammals";" the Chordate phylum?"
"How many architects are there who have made something used by Oakland athletics?";"How many architects";" by Oakland athletics?"
"Who are the shareholder of the broadcast networks whose owning company is Jamie Kellner?";"Who are the";" is Jamie Kellner?"
"List the awards won by the spouse of Harriet Andersson?";"List the awards";" of Harriet Andersson?"
"What are some Louisiana based models known for?";"What are some";" models known for?"
"What is a salthill?";"What is a";" is a salthill?"
"Which astronauts went on the Gemini 8 mission?";"Which astronauts went";" Gemini 8 mission?"
"Humes High School is alma mater to which person?";"Humes High School";" to which person?"
"What is the name of the person who has relations with Dionne Warwick and Gary Garland?";"What is the";" and Gary Garland?"
"Where did anton ausserer die?";"Where did anton";" anton ausserer die?"
"Name few companies founded in Texas?";"Name few companies";" founded in Texas?"
"Who is the distributer of Rev ?";"Who is the";" of Rev ?"
"In which companies boards do the writers of Wikitionary belong?";"In which companies";" of Wikitionary belong?"
"How many more teams have rented the stadium used by Raptors 905?";"How many more";" by Raptors 905?"
"Give me a count of everything under the archipelago, where Papeete is the biggest town.";"Give me a";" the biggest town."
"List the relegion of Otani University which is also the life stance of udit Raj ?";"List the relegion";" udit Raj ?"
"Which college of Luke List (golfer) is the alma mater of K. Terry Dornbush?";"Which college of";" K. Terry Dornbush?"
"Where is the swedish covenant hospital?";"Where is the";" swedish covenant hospital?"
"Where is the VP buried, which was served by Frederick Cooke?";"Where is the";" by Frederick Cooke?"
"Give me the characters who last appeared in Star Wars Episode 3.";"Give me the";" Wars Episode 3."
"What games can be played in schools founded by Fr. Orlando?";"What games can";" by Fr. Orlando?"
"where are the sister stations of CFRB broadcasted?";"where are the";" of CFRB broadcasted?"
"Name the river with source country in Zambia and source region as North-Western Province, Zambia?";"Name the river";" North-Western Province, Zambia?"
"Who was the president under whom, a governor participated in Shay's rebellion?";"Who was the";" in Shay's rebellion?"
"What are the awards won by the person who wrote the screenplay for Lost in Rio?";"What are the";" Lost in Rio?"
"Raymond Johansen is the mayor of what city?";"Raymond Johansen is";" of what city?"
"Give me the list of people who scaled mountains in Sierra Nevada?";"Give me the";" in Sierra Nevada?"
"What are the houses of Parliament Security Services?";"What are the";" Parliament Security Services?"
"Which writer of A literary Nightmare also extended the work of The Apple tree ?";"Which writer of";" Apple tree ?"
"What are some parties which have people from Mangalore as a member?";"What are some";" as a member?"
"Count all the things licensed as Software as a service.";"Count all the";" as a service."
"What is the Team Name of the Cristo Rey Jesuit High School (Chicago) and is also the nickname of the Lyons Township High School ?";"What is the";" High School ?"
"What is the occupation of the Irving Chernev and Karen Grigorian?";"What is the";" and Karen Grigorian?"
"Name a famous relative of barry voight";"Name a famous";" of barry voight"
"Which distributer of Bombay Sapphire also makes Grewy goose ?";"Which distributer of";" Grewy goose ?"
"Name the institute of Alton Ochsner ?";"Name the institute";" Alton Ochsner ?"
"What is the state of origin of Thomas Pfyl ?";"What is the";" Thomas Pfyl ?"
"Where do the rivers from greater London flow into?";"Where do the";" London flow into?"
"Which recognized title of Frank Thorne is also the product of Playboy Enterprise?";"Which recognized title";" of Playboy Enterprise?"
"Where does the road starting from Madison, Wisconsin end?";"Where does the";" Madison, Wisconsin end?"
"How many battles have involved commanders of 1st Free French Division?";"How many battles";" Free French Division?"
"Count the number of software which runs on Microsoft Windows and mac OS ?";"Count the number";" mac OS ?"
"List all the parents of writers coming from the Great Missenden ?";"List all the";" Great Missenden ?"
"Ontario's ice hockey players have been a part of which teams?";"Ontario's ice hockey";" of which teams?"
"What political party has governed both in Baraily and Jowai?";"What political party";" Baraily and Jowai?"
"Which religion followers are the members of Janata Dal?";"Which religion followers";" of Janata Dal?"
"Which US state has Dorchester Bay and the Joseph Story?";"Which US state";" the Joseph Story?"
"What is the genre of Battle Chess?";"What is the";" of Battle Chess?"
"Who are the players whose former teams are Carolina Panthers and Indianapolis Colts?";"Who are the";" and Indianapolis Colts?"
"What is the home stadium of the club coached by Justine Omojong?";"What is the";" by Justine Omojong?"
"Which US state gave us Brian Deegan and Harold Lyold?";"Which US state";" and Harold Lyold?"
"Which river's source mountain is Baikal Mountains and it's mouth is Lena Delta Wildlife Reserve?";"Which river's source";" Delta Wildlife Reserve?"
"Which political party got elected in First Legislative Assembly of Uttar Pradesh?";"Which political party";" of Uttar Pradesh?"
"In which nation does the league take place where C.D. Primeiro de Agosto play?";"In which nation";" de Agosto play?"
"Which award is presented by Downtown Athletic Club?";"Which award is";" Downtown Athletic Club?"
"Who is the developer of the software which distributes Batman: Arkham City Lockdown ?";"Who is the";" City Lockdown ?"
"Who is the person whose parent is Ptolemy XII Auletes?";"Who is the";" Ptolemy XII Auletes?"
"Count the drinks originated in England.";"Count the drinks";" originated in England."
"What is the total number of other combatant of the military conflicts whose combatant is Choctaw?";"What is the";" combatant is Choctaw?"
"Mac OS is the operating system of how many things?";"Mac OS is";" how many things?"
"List the current members of Metro Station (band) ?";"List the current";" Station (band) ?"
"What is the religious affiliation of the Neungin High School which is also the academic interest of Sylvain Lvi ?";"What is the";" Sylvain Lvi ?"
"Who is the author of Heroman is also the author of Karakuri Dji Ultimo ?";"Who is the";" Dji Ultimo ?"
"Which cities were in the TV Show which came after The Ultimate Fighter: Brazil 2?";"Which cities were";" Fighter: Brazil 2?"
"How many people were in a youthclub which played in the Argentine Primera Division?";"How many people";" Argentine Primera Division?"
"What is the official name of Colorado wine ?";"What is the";" Colorado wine ?"
"List the doctoral students of Harry Harlow?";"List the doctoral";" of Harry Harlow?"
"What is the alma mater of Julian Leow Beng Kim?";"What is the";" Leow Beng Kim?"
"Count all the places where companies located in Ontario operate.";"Count all the";" in Ontario operate."
"Which president of William Eustus also married to Dolley Madison ?";"Which president of";" Dolley Madison ?"
"Name the kingdom with currency Solidus (coin) and administrative headquarters in Nicomedia?";"Name the kingdom";" headquarters in Nicomedia?"
"Which country's leader is Giuseppe Bertello?";"Which country's leader";" is Giuseppe Bertello?"
"How many TV shows are similar to the ones belonging to fantasy genre?";"How many TV";" to fantasy genre?"
"Who are the children of Martin Crane?";"Who are the";" of Martin Crane?"
"Which nickname of Lyons Township High school is also the mascot of Galatasaray Handball Team ?";"Which nickname of";" Handball Team ?"
"List all important people of the non profit organization which has Hilary Clinton as a key person ?";"List all important";" key person ?"
"Which Stanley Kubrick's movie has music by Laurie Johnson?";"Which Stanley Kubrick's";" by Laurie Johnson?"
"What automobile engine's successor is BMW M40?";"What automobile engine's";" is BMW M40?"
"What is the television show whose executive producer is Steven Peterman?";"What is the";" is Steven Peterman?"
"What is the affiliation of Vanderbilt University Medical Center ?";"What is the";" Medical Center ?"
"List the people educated at Harvard-Westlake School and has resting place as Palo Alto, California?";"List the people";" Palo Alto, California?"
"Which company is located in Harris County, Texas?";"Which company is";" Harris County, Texas?"
"What are the nicknames of the schools whose color is royal blue?";"What are the";" is royal blue?"
"Name the place of Qaqun ?";"Name the place";" of Qaqun ?"
"Under which president was timothy l. woodruff a lieutenant?";"Under which president";" woodruff a lieutenant?"
"Which founder of sea Gayle Music is also the judge of Rising Star ?";"Which founder of";" Rising Star ?"
"Total number of places where people drafted by the detroit pistons have died?";"Total number of";" pistons have died?"
"Which royal people are buried in Rome?";"Which royal people";" buried in Rome?"
"Where is the south shore plaza located?";"Where is the";" shore plaza located?"
"How many software run on operating system Microsoft Windows?";"How many software";" system Microsoft Windows?"
"The official residence of Sukhumbhand paribatra ?";"The official residence";" Sukhumbhand paribatra ?"
"Who is the tenant of the home stadium of Toronto Phantoms?";"Who is the";" of Toronto Phantoms?"
"Martin AN/GSG-5 is a part of the building in which city?";"Martin AN/GSG-5 is";" in which city?"
"Who owns the railway line which goes through the Newark Station?";"Who owns the";" the Newark Station?"
"Which serving railway line of the Daund Junction railway station was also the place where 99 (2009 film) was recorded?";"Which serving railway";" film) was recorded?"
"Moscow-Kazan high speed railway starts from which station?";"Moscow-Kazan high speed";" from which station?"
"Where were the sportsmen born, who started their careers with Homestead Grays?";"Where were the";" with Homestead Grays?"
"What television show is magistrated by Harry Connick, Jr.?";"What television show";" Harry Connick, Jr.?"
"Scientists at the University of Queensland have won which awards?";"Scientists at the";" won which awards?"
"Who are the golf players whose college is Arizona State Sun Devils?";"Who are the";" State Sun Devils?"
"What sports are there at the universities affiliated to the National Capital Region Athletic Association?";"What sports are";" Region Athletic Association?"
"Who died due to Morphine?";"Who died due";" due to Morphine?"
"Which clubs play in the La Liga?";"Which clubs play";" the La Liga?"
"Name all sitcoms whose theme music is made by Miley Cyrus?";"Name all sitcoms";" by Miley Cyrus?"
"Which memeber of South Asia SubRegional Economic cooperation is also the nationality of Aishath saffa ?";"Which memeber of";" Aishath saffa ?"
"Which countries were led by Pietro Parolin?";"Which countries were";" by Pietro Parolin?"
"What is the common profession of DeWitt Clinton and Claiborne Pell ?";"What is the";" Claiborne Pell ?"
"How many people won the Gold Medal of the Royal Astronomical Society?";"How many people";" Royal Astronomical Society?"
"Where did Georges Wolinski and Judson Huss died?";"Where did Georges";" Judson Huss died?"
"Is Ingo Steuer the former coach of Stanislav Morozov?";"Is Ingo Steuer";" of Stanislav Morozov?"
"Who are the people which were the influencer of the person, who influenced Costanzo Preve ?";"Who are the";" Costanzo Preve ?"
"Count all those whose youth club was managed by Luis Enrique.";"Count all those";" by Luis Enrique."
"To which country do gabriel paris gordillo and gustavo rojas pinilla owe their allegiance?";"To which country";" owe their allegiance?"
"Did Annie Leibovitz do the cover of The Road Ahead?";"Did Annie Leibovitz";" The Road Ahead?"
"List all those whose relatives' nationality is United States.";"List all those";" is United States."
"Michael Deeley produce how many movies?";"Michael Deeley produce";" how many movies?"
"What shows are on the networks which are from the United States?";"What shows are";" the United States?"
"What is the resting place of the children of Bruce Lee ?";"What is the";" Bruce Lee ?"
"Which state of Tendaho dam is the headquarters of Ethiopian People's revolutionary democratic Front located ?";"Which state of";" Front located ?"
"How many times has Jeff Conaway been casted?";"How many times";" Conaway been casted?"
"How many movies did Michael Deeley produce?";"How many movies";" Michael Deeley produce?"
"List the important people of Maryland Jockey Club ?";"List the important";" Jockey Club ?"
"Who were the head of government agencies working in the German occupied Europe?";"Who were the";" German occupied Europe?"
"Does Walson Augustin play for the Brothers Union?";"Does Walson Augustin";" the Brothers Union?"
"To which military division does Clark Daniel Stearns belong?";"To which military";" Daniel Stearns belong?"
"What is the television show whose company is Playtone and written by Erik Jendresen?";"What is the";" by Erik Jendresen?"
"What is the Team Name of St Viator High School ?";"What is the";" High School ?"
"Name few TV shows aired by Prime Time Entertainment Network?";"Name few TV";" Time Entertainment Network?"
"What is the military branch of the William French Smith which is also the branch of Pierre R. Graham ?";"What is the";" R. Graham ?"
"What are some given names for males?";"What are some";" names for males?"
"Name the state of Timothy J. Roemer ?";"Name the state";" J. Roemer ?"
"How many tenants are there in the Mercedes Benz Superdome?";"How many tenants";" Mercedes Benz Superdome?"
"Who was the president during the time the opponent of John Hospers was in the office?";"Who was the";" in the office?"
"What are the birthplaces of the people who are the stars of Dhoondte Reh Jaaoge?";"What are the";" Dhoondte Reh Jaaoge?"
"Where are the headquarters of the parent company of Mall of America located?";"Where are the";" of America located?"
"Which university has affiliations to Graham Holdings and Kaplan, Inc.?";"Which university has";" and Kaplan, Inc.?"
"Which band had the members of The Conglomerate, and has made 'Before I let you go'?";"Which band had";" let you go'?"
"List the starring of the movies whose label is T-Series ?";"List the starring";" is T-Series ?"
"Which border country of the Korean Peninsula is also the country of Krusty, a musical group ?";"Which border country";" musical group ?"
"Name whose youth club was FC Barcelona?";"Name whose youth";" was FC Barcelona?"
"List down all the baseball teams whose team manager was a Catcher?";"List down all";" was a Catcher?"
"What are the television shows whose voices is given by Mona Marshall?";"What are the";" by Mona Marshall?"
"What awards have been given to Screenwriters?";"What awards have";" given to Screenwriters?"
"What is the common location of tomb of the Elizabeth of Rhuddlan and Isabel of Cambridge?";"What is the";" Isabel of Cambridge?"
"In which wars army men awarded with the Croix de Guerre, fought?";"In which wars";" de Guerre, fought?"
"What are some shows whose voice actors play the piano?";"What are some";" play the piano?"
"What is the debut team of Tom O'Malley ?";"What is the";" Tom O'Malley ?"
"Who is the common distributer of Bombay Sapphire and Rev ?";"Who is the";" and Rev ?"
